,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1401,Florian Miguel,"1,538",1,5,79.6,48.4,75,680,45,14,2020-2021,23,fr FRA,Nîmes,fr Ligue 1,21,"1,538",17.1,18,3,10,0,0,0,0,0,0,0,741,931,79.6,1,54,4,1,59,15610,5635,194,214,90.7,447,507,88.2,95,193,49.2,5,4,0,0,0,1,0,1,0,0,0,0,1,0,680,3604,1999,10,3,1,7,4,711,10,4,3,75,1,25,14,13,12,2,0,9,17,52.9,8,21,13,8,45,59,66,1,31,33,48.4,DF
1402,Muzinga Ngonda,"2,307",1,35,70.6,44.3,64.3,997,72,59,2020-2021,25,cd COD,Dijon,fr Ligue 1,30,"2,307",25.6,25,5,3,2,0,2,2,0,0,0,1195,1693,70.6,18,101,30,13,135,20020,8500,616,715,86.2,461,627,73.5,106,247,42.9,35,33,1,1,0,0,0,1,1,0,0,0,0,0,997,4479,2310,40,45,0,41,17,1107,96,56,36,64.3,20,35.7,59,40,37,21,1,30,50,60,20,28,3,25,72,131,58,0,31,39,44.3,DF
1403,Samuel Kalu,964,2,23,71.8,53.8,47.4,330,9,21,2020-2021,22,ng NGA,Bordeaux,fr Ligue 1,20,964,10.7,14,6,0,4,1,5,4,0,0,0,216,301,71.8,10,17,6,1,26,3261,659,130,156,83.3,63,84,75,18,35,51.4,23,8,4,7,0,4,0,2,1,0,1,0,0,0,330,2521,969,34,19,16,49,26,370,80,76,36,47.4,40,52.6,21,12,11,8,2,4,13,30.8,9,14,0,14,9,30,2,0,14,12,53.8,"FW,MF"
1404,Maxime Poundjé,491,0,3,72.4,61.5,80,192,11,10,2020-2021,27,fr FRA,Bordeaux,fr Ligue 1,14,491,5.5,4,10,18,0,0,0,0,0,0,0,189,261,72.4,1,8,2,1,16,2782,937,107,128,83.6,74,95,77.9,5,16,31.3,3,2,0,0,0,1,0,0,0,0,0,0,0,0,192,1382,699,21,15,0,3,9,199,17,10,8,80,2,20,10,7,9,1,0,2,6,33.3,4,7,3,4,11,21,5,0,16,10,61.5,DF
1405,Adil Aouchiche,"1,731",8,95,69.8,31.7,55.7,620,10,38,2020-2021,18,fr FRA,Saint-Étienne,fr Ligue 1,34,"1,731",19.2,21,13,2,2,5,7,2,0,0,0,571,818,69.8,59,57,25,7,87,10069,3336,307,364,84.3,152,213,71.4,85,181,47,95,51,33,1,2,8,0,8,5,3,0,0,0,0,620,3832,1947,56,29,14,61,27,701,92,61,34,55.7,27,44.3,38,20,12,17,9,13,49,26.5,36,15,1,14,10,48,6,0,13,28,31.7,"MF,FW"
1406,Issiaga Sylla,"1,116",1,20,76.1,58.7,57.1,395,16,28,2020-2021,26,gn GUI,Lens,fr Ligue 1,20,"1,116",12.4,13,7,8,1,0,1,1,0,0,0,518,681,76.1,8,33,13,9,49,8383,2982,266,318,83.6,212,266,79.7,33,61,54.1,20,13,3,1,1,1,1,1,1,0,0,0,0,0,395,2220,1195,32,26,3,19,13,468,84,28,16,57.1,12,42.9,28,20,11,17,0,11,21,52.4,10,13,3,10,16,44,21,0,27,19,58.7,"DF,MF"
1407,Josh Maja,804,0,15,83.9,42.4,66.7,151,6,8,2020-2021,21,ng NGA,Bordeaux,fr Ligue 1,17,804,8.9,11,6,5,2,0,2,2,0,0,0,161,192,83.9,8,9,2,0,8,1922,208,104,117,88.9,37,43,86,4,7,57.1,15,13,0,0,1,1,0,0,0,0,0,0,0,0,151,631,212,7,4,7,19,12,205,57,9,6,66.7,2,22.2,8,2,3,3,2,3,14,21.4,11,3,0,3,6,14,9,0,14,19,42.4,FW
1408,Fábio,"1,507",3,27,76.6,53.4,38.9,485,37,62,2020-2021,30,br BRA,Nantes,fr Ligue 1,22,"1,507",16.7,19,3,7,0,1,1,0,0,0,0,675,881,76.6,11,53,8,5,71,10897,4331,342,394,86.8,275,350,78.6,46,98,46.9,27,22,3,0,0,2,0,3,2,0,0,0,1,0,485,2530,1092,24,19,3,15,14,539,59,18,7,38.9,11,61.1,62,37,37,23,2,35,61,57.4,26,29,8,21,37,99,49,0,39,34,53.4,DF
1409,Simon Banza,"1,372",5,32,71,47.5,39.1,293,7,13,2020-2021,23,cd COD,Lens,fr Ligue 1,34,"1,372",15.2,12,22,3,5,2,7,4,1,1,0,228,321,71,12,28,7,2,34,3292,581,117,159,73.6,83,101,82.2,13,21,61.9,32,23,0,1,4,3,1,5,4,0,0,0,1,0,293,1341,542,17,13,4,52,22,400,115,23,9,39.1,14,60.9,13,6,0,4,9,1,14,7.1,13,16,1,15,7,20,15,0,57,63,47.5,FW
1410,Renaud Ripart,"3,054",5,67,67.4,48.3,38.9,868,36,52,2020-2021,27,fr FRA,Nîmes,fr Ligue 1,38,"3,054",33.9,35,3,0,11,0,11,5,6,7,1,805,1195,67.4,19,79,19,7,124,12995,3918,410,521,78.7,285,394,72.3,71,139,51.1,67,40,4,8,9,4,2,5,2,0,1,2,0,0,868,3975,1704,40,32,9,72,51,1036,152,72,28,38.9,44,61.1,52,30,25,19,8,26,84,31,58,58,12,46,36,88,53,0,72,77,48.3,"MF,FW"
