,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1001,David Alaba,"2,675",7,60,84.2,51.4,84.2,1654,43,37,2020-2021,28,at AUT,Bayern Munich,de Bundesliga,32,"2,675",29.7,30,2,0,2,4,6,2,0,0,0,1929,2290,84.2,28,212,35,4,242,35563,12318,736,817,90.1,1003,1125,89.2,172,283,60.8,60,55,1,0,3,0,1,7,6,1,0,0,0,0,1654,9691,5512,56,38,2,20,12,1856,70,19,16,84.2,3,15.8,37,21,14,19,4,17,32,53.1,15,29,13,16,43,80,60,0,19,18,51.4,"DF,MF"
1002,Iago,"1,560",3,32,71.3,42.9,47.1,511,22,37,2020-2021,23,br BRA,Augsburg,de Bundesliga,18,"1,560",17.3,18,0,1,1,1,2,1,0,0,0,591,829,71.3,15,23,16,9,37,10018,3373,266,319,83.4,248,324,76.5,58,126,46,32,24,3,1,2,0,2,3,2,0,0,1,0,0,511,3096,1571,39,24,4,15,13,545,67,17,8,47.1,9,52.9,37,27,21,13,3,17,29,58.6,12,17,5,12,22,59,55,0,21,28,42.9,DF
1003,Christopher Trimmel,"2,572",11,93,70.4,57.7,50,736,50,50,2020-2021,33,at AUT,Union Berlin,de Bundesliga,31,"2,572",28.6,30,1,1,1,9,10,1,0,0,0,1092,1552,70.4,59,57,36,27,85,19417,7961,534,613,87.1,371,497,74.6,160,348,46,93,56,33,0,0,3,1,11,6,4,0,0,1,0,736,3947,1918,47,51,5,20,12,839,78,20,10,50,10,50,50,25,28,18,4,28,54,51.9,26,32,7,25,50,100,99,0,30,22,57.7,"DF,FW"
1004,Tanguy Coulibaly,"1,506",3,38,72.2,32,63.3,420,10,26,2020-2021,19,fr FRA,Stuttgart,de Bundesliga,31,"1,506",16.7,17,14,1,2,1,3,2,0,0,0,340,471,72.2,15,17,9,3,29,4667,1049,207,259,79.9,94,126,74.6,15,27,55.6,38,27,0,6,2,2,1,3,3,0,0,0,0,0,420,3127,1512,46,33,22,49,43,456,149,79,50,63.3,29,36.7,26,15,10,7,9,11,23,47.8,12,20,0,20,10,36,11,0,16,34,32,"DF,FW"
1005,Mats Hummels,"2,813",2,33,87.4,73.4,70,1823,73,58,2020-2021,31,de GER,Dortmund,de Bundesliga,33,"2,813",31.3,32,1,0,5,0,5,5,0,0,0,2320,2654,87.4,12,140,10,0,149,51168,17573,535,595,89.9,1384,1484,93.3,390,523,74.6,33,30,0,0,2,1,0,2,2,0,0,0,0,0,1823,9383,5362,17,18,1,9,2,2093,7,10,7,70,3,30,58,40,34,18,6,26,42,61.9,16,31,22,9,73,131,122,2,127,46,73.4,DF
1006,Jonathan Burkardt,"1,373",6,35,69.8,33.3,41.3,332,8,27,2020-2021,20,de GER,Mainz 05,de Bundesliga,29,"1,373",15.3,16,13,2,2,0,2,2,0,0,0,280,401,69.8,14,23,8,1,33,4102,981,157,195,80.5,82,119,68.9,19,29,65.5,35,25,0,0,3,7,0,6,3,0,0,0,3,0,332,1910,979,39,26,16,47,28,373,97,46,19,41.3,27,58.7,27,13,15,10,2,11,19,57.9,8,20,3,17,8,35,15,0,20,40,33.3,"FW,MF"
1007,Maximilian Philipp,"1,111",7,34,73.2,40,84.6,272,6,15,2020-2021,26,de GER,Wolfsburg,de Bundesliga,24,"1,111",12.3,13,11,4,6,2,8,6,0,0,0,278,380,73.2,13,17,10,1,28,3793,822,168,211,79.6,82,101,81.2,12,26,46.2,34,24,2,4,3,1,0,7,6,0,1,0,0,0,272,924,284,8,7,5,33,7,362,71,13,11,84.6,2,15.4,15,6,3,6,6,5,21,23.8,16,17,0,17,6,21,3,0,10,15,40,MF
1008,Nemanja Radonjić,611,7,24,62.3,50,56.8,228,2,5,2020-2021,24,rs SRB,Hertha BSC,de Bundesliga,12,611,6.8,5,7,1,1,2,3,1,0,0,0,157,252,62.3,8,17,13,4,31,2188,872,98,130,75.4,40,64,62.5,8,16,50,24,16,0,6,0,2,0,7,4,0,2,0,1,0,228,1720,985,40,19,20,28,10,258,77,37,21,56.8,16,43.2,5,3,2,2,1,1,5,20,4,1,0,1,2,7,1,0,3,3,50,"FW,MF"
1009,Sven Bender,"1,170",2,12,89.8,52.4,50,647,21,17,2020-2021,31,de GER,Leverkusen,de Bundesliga,18,"1,170",13,14,4,2,0,0,0,0,0,0,0,916,1020,89.8,5,27,2,1,42,17906,5459,247,274,90.1,576,616,93.5,81,112,72.3,12,11,0,0,1,0,0,2,2,0,0,0,0,0,647,3019,1394,1,1,0,8,3,825,2,4,2,50,2,50,17,9,8,8,1,7,20,35,13,20,9,11,21,38,41,1,33,30,52.4,DF
