,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1201,Sam McCallum,"1,269",4,29,72.2,55.6,55.6,429,34,27,2021-2022,20,eng ENG,QPR,eng Championship,17,"1,269",14.1,15,2,3,2,0,2,2,0,0,0,533,738,72.2,7,36,8,5,46,8501,3442,284,337,84.3,186,245,75.9,47,105,44.8,29,20,2,1,2,4,0,4,2,1,1,0,0,0,429,2183,1019,27,17,4,19,12,474,82,18,10,55.6,8,44.4,27,16,18,6,3,16,31,51.6,15,23,5,18,34,61,27,1,20,16,55.6,DF
1202,Jack Robinson,"2,360",2,16,73.6,65.6,50,912,33,35,2021-2022,27,eng ENG,Sheffield Utd,eng Championship,27,"2,360",26.2,26,1,12,3,1,4,3,0,0,0,1129,1535,73.6,8,84,4,1,97,20137,8047,500,575,87,512,628,81.5,101,264,38.3,16,11,4,0,1,0,0,2,1,1,0,0,0,0,912,4841,2624,42,36,1,12,4,993,22,4,2,50,2,50,35,20,23,12,0,21,31,67.7,10,31,18,13,33,68,84,2,107,56,65.6,DF
1203,Ryan Giles,"2,466",12,102,57.4,42.1,36.2,785,10,18,2021-2022,21,eng ENG,2 Teams,eng Championship,32,"2,466",27.4,27,5,2,0,10,10,0,0,0,0,612,1067,57.4,66,38,45,40,45,11264,4553,308,374,82.4,189,329,57.4,104,265,39.2,102,57,36,4,1,3,1,12,6,4,1,0,1,0,785,5581,2613,112,59,22,49,18,795,197,47,17,36.2,30,63.8,18,11,9,5,4,9,16,56.3,7,12,1,11,10,28,16,0,8,11,42.1,"DF,MF"
1204,Moses Odubajo,"2,133",5,38,75.3,39.6,52.9,768,25,48,2021-2022,28,eng ENG,QPR,eng Championship,28,"2,133",23.7,23,5,4,0,3,3,0,0,0,0,868,1152,75.3,16,53,19,12,54,14119,4351,435,503,86.5,345,433,79.7,64,150,42.7,38,31,0,1,2,4,0,5,5,0,0,0,0,0,768,4422,2205,61,41,10,50,31,785,105,51,27,52.9,24,47.1,48,32,28,20,0,18,39,46.2,21,19,4,15,25,73,37,3,19,29,39.6,DF
1205,Luke Amos,"1,348",6,34,76.6,35.6,45,370,23,30,2021-2022,24,eng ENG,QPR,eng Championship,29,"1,348",15,15,14,9,6,0,6,6,0,0,0,387,505,76.6,9,38,9,1,48,5838,1449,197,238,82.8,151,180,83.9,16,41,39,34,27,0,0,3,2,2,6,5,0,0,0,1,0,370,1710,741,11,5,5,35,18,427,38,20,9,45,11,55,30,19,12,15,3,15,32,46.9,17,21,5,16,23,53,16,0,16,29,35.6,MF
1206,Will Vaulks,"2,101",2,68,67.9,66.2,71.4,563,34,44,2021-2022,27,wls WAL,Cardiff City,eng Championship,36,"2,101",23.3,23,13,7,2,2,4,1,1,1,0,787,1159,67.9,28,101,27,14,89,15947,5546,320,403,79.4,305,407,74.9,148,284,52.1,68,43,19,0,4,0,2,2,1,1,0,0,0,0,563,2450,910,15,10,1,22,16,713,32,7,5,71.4,2,28.6,44,29,18,23,3,17,45,37.8,28,23,4,19,34,78,24,1,49,25,66.2,MF
1207,Romaine Sawyers,"1,739",8,45,84.7,40.9,50,698,6,23,2021-2022,29,kn SKN,Stoke City,eng Championship,25,"1,739",19.3,19,6,6,2,3,5,2,0,0,0,811,957,84.7,21,91,15,1,104,12875,3691,398,440,90.5,346,392,88.3,44,70,62.9,45,40,1,2,2,0,0,8,7,0,1,0,0,0,698,2824,1154,18,19,2,27,22,813,40,22,11,50,11,50,23,11,13,8,2,10,22,45.5,12,19,5,14,6,29,8,0,9,13,40.9,MF
1208,Kenny Tete,"1,342",4,36,81,47.5,57.1,729,21,33,2021-2022,25,nl NED,Fulham,eng Championship,20,"1,342",14.9,15,5,12,2,1,3,2,0,0,0,941,1162,81,17,82,29,15,76,14513,5090,519,568,91.4,338,407,83,59,121,48.8,36,31,1,2,0,0,2,4,4,0,0,0,0,0,729,3571,1677,30,33,1,15,13,833,53,21,12,57.1,9,42.9,33,20,19,8,6,16,24,66.7,8,9,2,7,21,54,36,0,19,21,47.5,DF
1209,Oliver McBurnie,"1,026",5,25,62.5,44.9,26.7,255,2,8,2021-2022,25,sct SCO,Sheffield Utd,eng Championship,28,"1,026",11.4,9,19,5,0,2,2,0,0,0,0,208,333,62.5,11,19,10,0,26,2654,536,141,198,71.2,49,77,63.6,4,6,66.7,25,20,0,0,3,2,0,5,4,0,0,1,0,0,255,977,334,12,11,5,35,16,362,73,15,4,26.7,11,73.3,8,4,3,4,1,5,10,50,5,4,1,3,2,10,22,0,70,86,44.9,"FW,MF"
