,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
2001,Pedro Mendes,"2,667",6,31,81.4,39.5,91.7,826,48,71,2018-2019,27,pt POR,Montpellier,fr Ligue 1,31,"2,667",29.6,31,0,0,1,0,1,1,0,0,0,1064,1307,81.4,8,87,9,2,93,22940,8956,317,351,90.3,555,615,90.2,184,309,59.5,31,22,5,1,0,2,1,6,4,1,0,0,1,0,826,4255,2584,23,15,2,17,10,1007,5,12,11,91.7,1,8.3,71,42,56,13,2,31,47,66,16,42,22,20,48,119,73,1,34,52,39.5,DF
2002,Gabriel Magalhães,"1,066",0,14,85.9,71.9,0,475,19,18,2018-2019,20,br BRA,Lille,fr Ligue 1,14,"1,066",11.8,11,3,7,1,0,1,1,0,0,0,554,645,85.9,3,18,2,0,40,11218,4120,158,171,92.4,329,353,93.2,62,110,56.4,14,11,1,0,1,1,0,0,0,0,0,0,0,0,475,2632,1548,5,2,0,4,2,508,0,1,0,0,1,100,18,11,13,4,1,4,7,57.1,3,14,6,8,19,37,60,2,41,16,71.9,DF
2003,Senou Coulibaly,411,0,2,75,50,100,133,11,13,2018-2019,23,ml MLI,Dijon,fr Ligue 1,9,411,4.6,6,3,9,1,0,1,1,0,0,0,144,192,75,2,11,2,0,9,2907,907,51,58,87.9,73,88,83,18,39,46.2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,133,796,371,1,3,0,6,1,147,0,1,1,100,0,0,13,7,10,3,0,3,8,37.5,5,8,2,6,11,24,20,0,10,10,50,DF
2004,Ihsan Sacko,442,3,13,76.4,21.1,37.5,95,2,7,2018-2019,21,fr FRA,Nice,fr Ligue 1,13,442,4.9,4,9,6,0,1,1,0,0,0,0,84,110,76.4,5,3,5,1,8,1113,152,52,57,91.2,26,31,83.9,2,5,40,13,9,0,1,1,2,0,3,1,0,0,1,1,0,95,521,161,7,7,4,21,8,125,38,8,3,37.5,5,62.5,7,2,2,5,0,2,5,40,3,5,0,5,2,9,2,0,4,15,21.1,FW
2005,Neymar,"1,439",24,103,77.6,72.7,60.5,947,5,14,2018-2019,26,br BRA,Paris S-G,fr Ligue 1,17,"1,439",16,16,1,0,15,7,22,10,5,5,0,824,1062,77.6,41,118,64,1,177,12145,4713,441,510,86.5,226,279,81,73,134,54.5,103,59,15,15,6,8,0,24,15,0,4,3,2,0,947,7021,3838,125,86,32,69,72,1120,138,124,75,60.5,48,38.7,14,9,3,10,1,4,21,19,17,8,0,8,5,19,1,1,8,3,72.7,"MF,FW"
2006,Antonio Barreca,593,1,10,74,47.8,20,154,7,11,2018-2019,23,it ITA,Monaco,fr Ligue 1,7,593,6.6,7,0,2,0,1,1,0,0,0,0,205,277,74,5,8,6,4,18,3376,1623,93,103,90.3,94,113,83.2,11,32,34.4,10,7,3,0,0,0,0,1,1,0,0,0,0,0,154,893,434,15,8,4,12,6,173,29,10,2,20,8,80,11,8,8,3,0,7,11,63.6,4,3,2,1,7,18,18,0,11,12,47.8,DF
2007,Youcef Atal,"2,263",2,76,81.2,51.8,49.8,1013,56,68,2018-2019,22,dz ALG,Nice,fr Ligue 1,29,"2,263",25.1,25,4,0,6,0,6,6,0,1,1,1024,1261,81.2,23,58,22,8,86,14856,4125,598,671,89.1,355,434,81.8,45,91,49.5,76,43,3,14,3,12,1,2,1,0,0,1,0,0,1013,7446,4352,137,96,53,82,33,1123,275,203,101,49.8,102,50.2,68,44,34,25,9,34,67,50.7,33,38,8,30,56,124,42,0,44,41,51.8,"DF,FW"
2008,Loïc Perrin,"2,700",2,19,85.7,65.9,66.7,951,44,53,2018-2019,32,fr FRA,Saint-Étienne,fr Ligue 1,31,"2,700",30,31,0,1,1,1,2,1,0,0,0,1388,1620,85.7,9,78,10,1,102,26292,10574,538,588,91.5,689,761,90.5,152,240,63.3,19,17,1,0,1,0,0,2,1,0,0,1,0,0,951,3616,2154,15,10,2,9,6,1259,3,9,6,66.7,3,33.3,53,36,34,17,2,20,33,60.6,13,37,24,13,44,97,118,2,91,47,65.9,DF
2009,Ghislain Konan,"1,800",5,42,74,37.7,47.2,552,40,45,2018-2019,22,ci CIV,Reims,fr Ligue 1,20,"1,800",20,20,0,0,0,1,1,0,0,0,0,751,1015,74,17,59,22,14,87,12164,5849,396,439,90.2,294,410,71.7,51,106,48.1,42,31,6,3,0,1,1,5,4,1,0,0,0,0,552,4511,2779,88,62,2,35,15,592,57,53,25,47.2,28,52.8,45,28,31,10,4,24,40,60,16,18,4,14,40,85,55,1,23,38,37.7,DF
