,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1601,Duane Holmes,"1,835",4,37,67.2,22.4,47.7,494,13,21,2020-2021,25,us USA,2 Teams,eng Championship,33,"1,835",20.4,23,10,5,3,2,5,3,0,0,0,510,759,67.2,23,40,20,3,59,8031,1996,277,350,79.1,179,248,72.2,37,112,33,37,28,7,1,0,1,0,4,3,1,0,0,0,0,494,2894,1451,44,31,8,35,26,618,116,44,21,47.7,23,52.3,21,14,9,9,3,9,36,25,27,23,2,21,13,34,18,0,11,38,22.4,"MF,FW"
1602,Harlee Dean,"3,771",1,29,62.7,65.9,64.7,733,57,29,2020-2021,29,eng ENG,Birmingham City,eng Championship,43,"3,771",41.9,42,1,2,4,0,4,4,0,0,0,972,1551,62.7,8,92,18,5,125,20592,9752,306,417,73.4,486,690,70.4,169,374,45.2,29,23,0,1,4,1,0,1,0,0,0,1,0,0,733,4610,2419,25,14,0,32,13,769,14,17,11,64.7,6,35.3,29,19,14,14,1,18,31,58.1,13,48,31,17,57,86,158,2,244,126,65.9,DF
1603,Anis Mehmeti,"1,495",2,40,66,32.6,56.7,327,3,20,2020-2021,19,al ALB,Wycombe,eng Championship,29,"1,495",16.6,18,11,12,3,1,4,2,1,1,0,250,379,66,17,29,10,4,54,3959,1016,127,173,73.4,90,118,76.3,21,50,42,40,27,0,5,6,2,0,2,1,0,0,1,0,0,327,2614,1034,42,30,20,48,37,322,53,60,34,56.7,26,43.3,20,9,4,10,6,9,25,36,16,12,0,12,3,23,2,0,15,31,32.6,MF
1604,Aaron Rowe,987,3,22,73.5,23.8,50,264,10,14,2020-2021,19,eng ENG,Huddersfield,eng Championship,20,987,11,10,10,10,1,1,2,1,0,0,0,247,336,73.5,7,11,6,1,25,3677,1143,141,162,87,86,114,75.4,12,35,34.3,22,13,0,3,3,3,0,3,3,0,0,0,0,0,264,2103,1074,38,11,11,30,13,263,57,34,17,50,17,50,14,10,6,4,4,7,10,70,3,21,3,18,10,24,12,0,5,16,23.8,"DF,FW"
1605,Maikel Kieftenbeld,"1,505",2,22,73.9,53.1,70,297,38,37,2020-2021,30,nl NED,2 Teams,eng Championship,21,"1,505",16.7,16,5,10,0,0,0,0,0,0,0,400,541,73.9,6,51,2,1,51,6628,2044,199,235,84.7,154,207,74.4,36,72,50,22,15,0,2,2,2,1,2,2,0,0,0,0,0,297,1155,425,4,7,1,28,10,343,8,10,7,70,3,30,37,22,11,25,1,21,42,50,21,12,3,9,38,75,24,0,17,15,53.1,MF
1606,Viktor Gyökeres,"1,044",2,28,69.4,21.8,45.7,275,7,13,2020-2021,22,se SWE,2 Teams,eng Championship,30,"1,044",11.6,9,21,11,3,0,3,3,0,0,0,206,297,69.4,10,9,10,1,18,2619,478,138,181,76.2,53,72,73.6,3,11,27.3,28,17,0,4,2,5,0,2,1,0,1,0,0,0,275,1893,729,34,19,21,42,26,345,95,35,16,45.7,19,54.3,13,5,1,5,7,4,13,30.8,9,11,1,10,7,20,9,0,22,79,21.8,FW
1607,Joe Rafferty,"1,335",5,28,69,50,55.6,380,30,12,2020-2021,26,ie IRL,Preston,eng Championship,22,"1,335",14.8,15,7,15,0,1,1,0,0,0,0,580,840,69,13,62,20,7,69,10106,4835,292,324,90.1,201,290,69.3,75,182,41.2,28,18,9,1,0,0,0,5,4,1,0,0,0,0,380,1552,725,10,11,0,7,2,459,27,9,5,55.6,4,44.4,12,9,9,1,2,6,11,54.5,5,9,5,4,30,42,40,0,27,27,50,DF
1608,Emiliano Marcondes,"1,347",3,45,70.7,36.5,0,353,8,26,2020-2021,25,dk DEN,Brentford,eng Championship,31,"1,347",15,12,19,4,1,2,3,1,0,0,0,402,569,70.7,23,52,15,3,77,6677,2557,198,236,83.9,155,217,71.4,40,85,47.1,45,34,6,0,3,2,0,3,2,1,0,0,0,0,353,1954,898,20,19,3,22,10,424,51,2,0,0,2,100,26,14,14,9,3,12,27,44.4,15,23,4,19,8,34,18,0,19,33,36.5,MF
1609,James Garner,"2,834",4,83,76.6,44.3,62.5,925,47,57,2020-2021,19,eng ENG,2 Teams,eng Championship,40,"2,834",31.5,31,9,5,4,1,5,4,0,0,0,1081,1412,76.6,36,138,19,4,128,19455,5351,498,586,85,434,529,82,126,241,52.3,83,49,19,5,4,4,2,4,2,2,0,0,0,0,925,4484,1939,32,19,7,39,13,1027,42,32,20,62.5,12,37.5,57,30,20,31,6,22,65,33.8,43,39,8,31,47,104,42,1,35,44,44.3,MF
