,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1801,Sam Surridge,"1,028",5,34,64.8,27.7,26.3,168,3,11,2020-2021,22,eng ENG,Bournemouth,eng Championship,29,"1,028",11.4,7,22,13,4,1,5,4,0,0,0,125,193,64.8,14,6,6,0,14,1571,316,76,106,71.7,34,48,70.8,4,12,33.3,34,18,0,3,4,9,0,5,3,0,0,0,2,0,168,799,337,11,13,6,33,12,229,50,19,5,26.3,14,73.7,11,6,3,3,5,3,5,60,2,8,2,6,3,14,8,0,23,60,27.7,"FW,MF"
1802,Nahki Wells,"3,031",8,76,72.5,15.4,41.5,648,18,38,2020-2021,30,bm BER,Bristol City,eng Championship,46,"3,031",33.7,36,10,0,10,3,13,9,1,2,1,584,806,72.5,30,28,20,6,45,8929,1458,349,431,81,164,227,72.2,45,77,58.4,76,52,2,4,9,9,0,8,4,0,2,2,0,0,648,3519,1346,49,32,14,89,28,765,219,53,22,41.5,31,58.5,38,21,11,20,7,14,45,31.1,31,27,0,27,18,56,9,0,16,88,15.4,FW
1803,Stewart Downing,547,5,28,82.7,50,0,351,8,7,2020-2021,36,eng ENG,Blackburn,eng Championship,18,547,6.1,2,16,13,0,2,2,0,0,0,0,406,491,82.7,12,53,12,2,63,8762,2863,131,145,90.3,193,214,90.2,72,111,64.9,28,19,7,0,2,0,0,5,3,1,0,1,0,0,351,2200,1166,13,7,1,4,4,392,13,1,0,0,1,100,7,3,3,3,1,4,8,50,4,2,2,0,8,15,7,0,2,2,50,MF
1804,Jamal Lowe,"3,436",9,83,66,29.5,53.1,827,10,38,2020-2021,26,jm JAM,Swansea City,eng Championship,46,"3,436",38.2,42,4,0,14,0,14,13,1,1,0,582,882,66,25,31,32,7,73,7840,1789,361,467,77.3,162,233,69.5,26,65,40,83,53,1,10,10,8,1,9,5,0,2,1,1,0,827,5346,2037,92,42,44,132,70,978,296,81,43,53.1,38,46.9,38,23,16,8,14,9,36,25,27,27,2,25,10,48,14,0,67,160,29.5,FW
1805,Josh Murphy,"1,132",8,39,58.4,31.7,40.8,254,6,9,2020-2021,25,eng ENG,Cardiff City,eng Championship,32,"1,132",12.6,12,20,10,2,5,7,2,0,0,0,164,281,58.4,21,17,14,6,28,2950,1023,77,101,76.2,52,88,59.1,26,57,45.6,39,26,4,4,3,2,0,8,7,0,0,1,0,0,254,1637,798,27,17,8,35,13,277,72,49,20,40.8,29,59.2,9,5,6,3,0,4,23,17.4,19,23,0,23,6,15,8,0,13,28,31.7,"FW,MF"
1806,Leo Skiri Østigård,"3,119",4,31,67.6,67.1,25,810,40,27,2020-2021,20,no NOR,Coventry City,eng Championship,39,"3,119",34.7,35,4,3,2,2,4,2,0,0,0,1025,1517,67.6,8,83,9,0,94,20687,9326,363,470,77.2,477,651,73.3,163,336,48.5,31,25,1,0,3,2,0,4,3,0,0,1,0,0,810,4728,2842,33,17,0,19,5,993,8,4,1,25,3,75,27,18,16,9,2,17,27,63,10,26,19,7,40,67,166,3,190,93,67.1,DF
1807,Uche Ikpeazu,"2,059",10,61,52.7,38.8,46.4,496,3,8,2020-2021,25,ug UGA,Wycombe,eng Championship,31,"2,059",22.9,23,8,2,6,3,9,5,1,2,1,204,387,52.7,17,14,10,2,27,2876,437,104,180,57.8,66,117,56.4,12,21,57.1,61,27,0,7,4,23,0,10,5,0,3,1,1,0,496,2631,856,32,38,13,145,71,647,123,56,26,46.4,30,53.6,8,3,2,2,4,2,5,40,3,17,3,14,3,11,17,0,109,172,38.8,FW
1808,John Buckley,997,3,51,76.4,45.5,53.8,433,8,31,2020-2021,20,eng ENG,Blackburn,eng Championship,28,997,11.1,7,21,17,1,1,2,1,0,0,0,478,626,76.4,20,65,18,4,75,8112,2305,248,280,88.6,163,206,79.1,54,104,51.9,51,43,5,1,0,2,0,3,3,0,0,0,0,0,433,2167,1052,23,17,4,22,11,515,40,13,7,53.8,6,46.2,31,20,13,15,3,13,35,37.1,22,14,1,13,8,39,7,0,10,12,45.5,"MF,FW"
1809,Joost van Aken,"1,273",0,4,72.4,54.7,100,356,20,19,2020-2021,26,nl NED,Sheffield Weds,eng Championship,17,"1,273",14.1,16,1,2,0,0,0,0,0,0,0,428,591,72.4,1,30,3,0,51,8291,3264,155,185,83.8,220,269,81.8,45,114,39.5,4,2,1,0,1,0,0,0,0,0,0,0,0,0,356,1761,1020,10,3,0,9,0,356,2,3,3,100,0,0,19,14,12,7,0,8,12,66.7,4,13,5,8,20,39,43,0,35,29,54.7,DF
