,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
2401,Jonathan Rivierez,"2,064",0,37,75.5,47.7,67.5,585,39,81,2017-2018,28,mq MTQ,Metz,fr Ligue 1,26,"2,064",22.9,24,2,6,0,0,0,0,0,0,0,727,963,75.5,9,79,16,10,74,14177,7056,266,303,87.8,376,472,79.7,83,162,51.2,37,21,8,5,0,2,1,0,0,0,0,0,0,0,585,2559,1226,15,29,4,13,3,564,41,40,27,67.5,13,32.5,81,59,50,26,5,41,80,51.3,39,21,7,14,39,120,73,0,21,23,47.7,DF
2402,Adama Soumaoro,"1,192",0,4,92.2,67.9,100,402,16,9,2017-2018,25,fr FRA,Lille,fr Ligue 1,14,"1,192",13.2,14,0,3,0,0,0,0,0,0,0,540,586,92.2,1,11,0,0,17,9364,3311,215,227,94.7,278,290,95.9,31,48,64.6,4,3,1,0,0,0,0,0,0,0,0,0,0,0,402,2458,1458,3,1,1,6,8,433,0,9,9,100,0,0,9,5,7,2,0,2,3,66.7,1,22,16,6,16,25,50,1,19,9,67.9,DF
2403,Rony Lopes,"2,531",13,82,69.8,21.3,54.1,802,16,55,2017-2018,21,pt POR,Monaco,fr Ligue 1,38,"2,531",28.1,32,6,0,15,5,20,15,0,0,0,588,842,69.8,41,40,43,10,89,7952,2347,373,444,84,161,243,66.3,22,74,29.7,82,54,1,9,9,7,2,13,7,0,1,3,2,0,802,5299,2932,111,71,36,86,50,867,282,85,46,54.1,39,45.9,55,32,15,27,13,21,78,26.9,57,23,2,21,16,71,22,0,13,48,21.3,"FW,MF"
2404,Christopher Nkunku,631,1,20,90.3,50,68.4,314,5,5,2017-2018,19,fr FRA,Paris S-G,fr Ligue 1,20,631,7,6,14,14,4,0,4,4,0,0,0,326,361,90.3,4,22,7,0,31,4354,946,194,208,93.3,85,89,95.5,17,28,60.7,20,15,1,0,4,0,0,1,1,0,0,0,0,0,314,1753,878,18,16,3,18,19,364,47,19,13,68.4,5,26.3,5,2,2,2,1,3,14,21.4,11,8,2,6,5,10,2,1,4,4,50,"FW,MF"
2405,Prince-Désir Gouano,"2,746",1,9,79.7,57.9,66.7,608,49,42,2017-2018,23,fr FRA,Amiens,fr Ligue 1,32,"2,746",30.5,32,0,2,0,0,0,0,0,0,0,860,1079,79.7,2,20,2,1,46,16195,6316,291,330,88.2,489,562,87,70,157,44.6,9,7,0,0,1,1,0,1,1,0,0,0,0,0,608,2382,1171,0,1,0,6,3,688,0,9,6,66.7,3,33.3,42,29,32,8,2,22,31,71,9,58,47,11,49,91,191,6,92,67,57.9,DF
2406,Jemerson,"2,855",1,9,86.9,54,66.7,939,56,48,2017-2018,24,br BRA,Monaco,fr Ligue 1,33,"2,855",31.7,33,0,0,2,0,2,2,0,0,0,1182,1360,86.9,2,28,1,0,59,24391,8411,348,375,92.8,666,714,93.3,161,247,65.2,9,6,1,0,2,0,0,1,0,0,0,1,0,0,939,4955,2999,9,5,2,12,4,1065,1,6,4,66.7,2,33.3,48,32,32,15,1,24,31,77.4,7,46,32,14,56,104,169,1,61,52,54,DF
2407,Gaëtan Laborde,957,2,24,62.2,42.3,48.4,251,1,9,2017-2018,23,fr FRA,Bordeaux,fr Ligue 1,20,957,10.6,10,10,7,3,0,3,2,1,1,0,158,254,62.2,8,5,4,1,16,1978,236,95,137,69.3,43,69,62.3,5,10,50,24,14,0,1,6,3,0,2,1,0,0,0,1,0,251,1275,510,22,16,11,42,20,291,72,31,15,48.4,16,51.6,9,7,1,6,2,2,7,28.6,5,8,2,6,1,10,7,1,47,64,42.3,FW
2408,James Lea Siliki,"1,818",6,65,72.2,50,56.9,534,18,31,2017-2018,21,cm CMR,Rennes,fr Ligue 1,32,"1,818",20.2,19,13,3,3,2,5,3,0,0,0,548,759,72.2,20,80,13,7,89,10041,2636,241,293,82.3,196,244,80.3,78,144,54.2,65,36,3,5,5,15,1,6,3,0,1,1,1,0,534,3340,1757,47,34,7,41,22,662,66,51,29,56.9,22,43.1,31,21,9,19,3,6,41,14.6,35,21,1,20,18,49,14,1,20,20,50,MF
2409,Emmanuel Bourgaud,542,2,32,65.3,46.2,90.9,193,6,17,2017-2018,29,fr FRA,Amiens,fr Ligue 1,17,542,6,4,13,15,0,1,1,0,0,0,0,198,303,65.3,18,20,7,2,33,3508,1333,89,108,82.4,60,92,65.2,30,61,49.2,32,15,9,3,0,5,0,2,0,1,0,0,1,0,193,1122,535,13,12,2,9,13,227,22,11,10,90.9,1,9.1,17,11,5,9,3,10,23,43.5,13,5,0,5,6,23,11,0,12,14,46.2,"FW,MF"
