,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
2001,Neeskens Kebano,588,4,27,71,42.9,62.5,230,4,14,2019-2020,27,cd COD,Fulham,eng Championship,16,588,6.5,5,11,9,3,1,4,3,0,0,0,174,245,71,14,7,12,5,20,2405,577,115,126,91.3,43,73,58.9,9,26,34.6,27,21,1,0,1,2,2,4,2,0,0,1,1,0,230,1727,962,40,15,10,22,13,249,101,16,10,62.5,6,37.5,14,9,6,4,4,7,15,46.7,8,8,1,7,4,18,5,0,6,8,42.9,FW
2002,Kyle Bartley,"3,265",2,18,83,71.5,25,1104,45,51,2019-2020,28,eng ENG,West Brom,eng Championship,38,"3,265",36.3,37,1,7,2,2,4,2,0,0,0,1528,1840,83,6,87,6,0,103,29801,12345,530,602,88,817,914,89.4,166,282,58.9,18,15,0,0,1,0,2,2,2,0,0,0,0,0,1104,5603,3400,10,4,0,18,6,1262,2,4,1,25,3,75,51,40,38,12,1,18,25,72,7,41,34,7,45,96,172,1,183,73,71.5,DF
2003,Andrew Shinnie,"1,346",4,49,77.7,45.7,76.5,507,9,23,2019-2020,30,sct SCO,Luton Town,eng Championship,21,"1,346",15,16,5,22,1,2,3,1,0,0,0,588,757,77.7,23,61,7,2,80,10748,3432,242,278,87.1,246,286,86,70,142,49.3,49,25,16,0,5,2,1,4,2,1,0,1,0,0,507,2747,1257,23,17,2,21,26,582,34,17,13,76.5,4,23.5,23,14,13,7,3,9,28,32.1,19,19,5,14,9,32,10,2,16,19,45.7,MF
2004,Steve Mounié,"1,421",3,32,58.5,56.6,35.7,258,9,10,2019-2020,24,bj BEN,Huddersfield,eng Championship,30,"1,421",15.8,12,18,9,8,2,10,7,1,1,0,273,467,58.5,17,25,5,0,26,3658,672,153,247,61.9,98,163,60.1,4,7,57.1,32,25,0,2,3,1,1,3,2,0,0,1,0,0,258,1339,412,11,13,3,40,22,503,69,14,5,35.7,9,64.3,10,5,2,7,1,3,12,25,9,7,2,5,9,19,16,0,171,131,56.6,FW
2005,Geoff Cameron,"3,051",3,36,75,57.1,90.9,775,35,77,2019-2020,34,us USA,QPR,eng Championship,36,"3,051",33.9,36,0,2,1,1,2,1,0,0,0,1120,1493,75,7,118,6,0,136,21585,7788,379,479,79.1,598,702,85.2,122,237,51.5,36,33,0,1,0,1,1,3,3,0,0,0,0,0,775,4210,2028,15,17,1,43,31,993,15,22,20,90.9,2,9.1,77,43,42,32,3,31,65,47.7,34,38,19,19,35,112,92,3,92,69,57.1,"MF,DF"
2006,Callum McManaman,917,5,16,63,31.3,54.8,217,6,22,2019-2020,28,eng ENG,Luton Town,eng Championship,23,917,10.2,10,13,16,4,0,4,4,0,0,0,136,216,63,3,16,7,6,16,2271,497,72,88,81.8,46,67,68.7,15,41,36.6,16,8,0,2,2,4,0,5,0,0,1,1,3,0,217,1465,662,26,6,3,28,13,224,55,31,17,54.8,14,45.2,22,14,8,12,2,7,23,30.4,16,9,0,9,6,28,8,0,5,11,31.3,"FW,MF"
2007,Ezgjan Alioski,"2,262",7,77,76.6,40,54.2,724,30,63,2019-2020,27,mk MKD,Leeds United,eng Championship,39,"2,262",25.1,21,18,5,5,3,8,5,0,0,0,1080,1410,76.6,44,69,46,14,130,16556,6766,640,722,88.6,361,459,78.6,62,149,41.6,77,62,0,3,7,2,3,7,5,0,1,1,0,0,724,3648,2126,53,42,8,38,30,1054,186,24,13,54.2,11,45.8,63,36,38,18,7,25,61,41,36,20,0,20,30,93,45,0,46,69,40,"DF,MF"
2008,Lewis Grabban,"3,911",9,93,77.6,26.6,54.1,569,5,10,2019-2020,31,eng ENG,Nott'ham Forest,eng Championship,45,"3,911",43.5,43,2,0,20,2,22,16,4,5,1,539,695,77.6,42,40,13,5,53,8180,1263,311,375,82.9,191,234,81.6,21,37,56.8,93,73,0,7,6,5,2,9,6,0,2,1,0,0,569,4229,1583,74,34,37,87,60,656,185,61,33,54.1,28,45.9,10,5,1,1,8,3,20,15,17,8,0,8,5,15,39,0,33,91,26.6,FW
2009,Tom Edwards,"1,125",2,27,63.3,57.8,63.2,339,17,16,2019-2020,20,eng ENG,Stoke City,eng Championship,13,"1,125",12.5,13,0,6,0,1,1,0,0,0,0,436,689,63.3,19,46,14,6,47,9229,4017,166,199,83.4,178,249,71.5,88,208,42.3,27,12,13,0,0,0,2,2,1,1,0,0,0,0,339,1985,943,18,22,1,16,8,385,44,19,12,63.2,7,36.8,16,10,8,6,2,7,12,58.3,5,9,3,6,17,33,35,1,26,19,57.8,DF
