,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1,Marko Arnautović,801,3,24,74.9,36.4,16.7,208,5,10,2023-2024,34,at AUT,Inter,it Serie A,27,801,8.9,5,22,3,5,3,8,5,0,0,0,203,271,74.9,16,9,10,1,20,2726,533,124,154,80.5,55,68,80.9,8,11,72.7,24,22,0,0,1,1,0,3,3,0,0,0,0,0,208,819,272,12,8,4,22,10,281,77,6,1,16.7,5,83.3,10,4,3,5,2,4,7,57.1,3,8,1,7,5,15,5,0,4,7,36.4,FW
2,Valentino Lazaro,"1,994",5,58,75.9,41.2,46.5,713,8,18,2023-2024,27,at AUT,Torino,it Serie A,35,"1,994",22.2,21,14,2,0,4,4,0,0,0,0,839,1106,75.9,34,64,32,16,94,13621,4761,425,467,91,323,426,75.8,63,143,44.1,58,36,18,2,1,1,0,5,4,1,0,0,0,0,713,3505,1736,53,29,10,35,8,792,106,43,20,46.5,12,27.9,18,11,7,9,2,13,19,68.4,6,14,1,13,8,26,29,0,14,20,41.2,"DF,MF"
3,Weston McKennie,"2,594",9,82,76.6,52.1,34,732,18,48,2023-2024,24,us USA,Juventus,it Serie A,34,"2,594",28.8,29,5,2,0,7,7,0,0,0,0,898,1172,76.6,41,52,28,11,92,15437,4433,456,541,84.3,328,430,76.3,104,148,70.3,82,64,9,2,2,3,2,9,8,0,0,1,0,0,732,3889,2061,64,39,8,38,19,884,176,53,18,34,29,54.7,48,29,31,11,6,17,27,63,10,28,7,21,18,66,69,0,37,34,52.1,"MF,DF"
4,Antonín Barák,808,3,30,86.2,37.1,30.8,310,2,6,2023-2024,28,cz CZE,Fiorentina,it Serie A,21,808,9,8,13,14,2,3,5,2,0,0,0,338,392,86.2,14,30,9,3,33,5238,1035,191,208,91.8,115,133,86.5,22,25,88,30,23,0,1,5,0,1,3,3,0,0,0,0,0,310,1648,634,17,23,1,15,16,372,64,13,4,30.8,8,61.5,6,2,1,3,2,3,7,42.9,4,5,0,5,2,8,4,0,13,22,37.1,"MF,FW"
5,Joshua Zirkzee,"2,759",10,97,77.4,42.6,40.6,814,3,32,2023-2024,22,nl NED,Bologna,it Serie A,34,"2,759",30.7,32,2,0,11,4,15,9,2,2,0,710,917,77.4,43,40,28,0,86,9106,1752,446,539,82.7,166,213,77.9,32,46,69.6,97,70,0,16,9,2,0,10,6,0,2,2,0,0,814,4132,1772,53,46,22,114,64,1033,182,128,52,40.6,72,56.3,32,20,8,15,9,13,24,54.2,11,25,2,23,3,35,36,0,29,39,42.6,FW
6,Manuel Lazzari,"1,671",5,32,84.7,23.8,45.8,609,12,26,2023-2024,29,it ITA,Lazio,it Serie A,24,"1,671",18.6,19,5,10,0,2,2,0,0,0,0,826,975,84.7,9,57,12,8,62,12173,3791,456,490,93.1,316,370,85.4,30,60,50,32,27,0,0,2,3,0,5,5,0,0,0,0,0,609,4072,2553,73,53,6,19,5,727,104,24,11,45.8,10,41.7,26,18,13,10,3,18,28,64.3,10,20,4,16,12,38,37,1,5,16,23.8,DF
7,Andrea Petagna,995,3,30,71.1,46.4,64.7,180,1,4,2023-2024,28,it ITA,2 Teams,it Serie A,18,995,11.1,13,5,12,1,1,2,1,0,0,0,170,239,71.1,18,10,5,0,14,2451,422,95,123,77.2,51,72,70.8,13,18,72.2,30,24,0,1,3,2,0,3,1,0,1,1,0,0,180,923,264,11,8,3,31,23,256,56,17,11,64.7,4,23.5,4,2,1,0,3,1,2,50,1,6,3,3,1,5,4,0,26,30,46.4,FW
8,Lorenzo Colombo,"1,359",6,28,70.3,22.9,52.2,287,0,17,2023-2024,21,it ITA,2 Teams,it Serie A,25,"1,359",15.1,16,9,13,4,1,5,4,0,0,0,185,263,70.3,8,10,3,0,24,2711,593,104,139,74.8,48,66,72.7,16,22,72.7,28,19,0,4,3,2,0,6,4,0,2,0,0,0,287,1275,464,16,9,13,64,29,348,75,23,12,52.2,11,47.8,17,12,3,9,5,8,14,57.1,6,18,5,13,0,17,14,0,19,64,22.9,FW
9,Walid Cheddira,"2,120",6,38,68.1,34.9,32.4,375,5,12,2023-2024,25,ma MAR,Frosinone,it Serie A,36,"2,120",23.6,24,12,1,7,1,8,6,1,1,0,262,385,68.1,16,17,4,0,22,3458,610,160,207,77.3,67,96,69.8,13,13,100,38,24,0,1,5,8,0,6,4,0,0,1,1,0,375,1933,791,31,14,22,72,36,486,139,37,12,32.4,23,62.2,12,7,1,8,3,4,8,50,4,6,1,5,5,17,10,0,37,69,34.9,FW
