,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1,Moussa Niakhate,"1,460",0,11,79.7,75,100,502,14,42,2023-2024,27,sn SEN,Nott'ham Forest,eng Premier League,21,"1,460",16.2,15,6,12,1,0,1,1,0,0,0,618,775,79.7,3,30,5,1,39,11445,4223,237,252,94,310,381,81.4,66,123,53.7,11,8,3,0,0,0,0,0,0,0,0,0,0,0,502,2511,1183,13,12,1,4,3,536,6,3,3,100,0,0,42,25,33,9,0,20,25,80,5,19,12,7,14,56,51,0,15,5,75,DF
2,Konstantinos Mavropanos,"1,500",0,10,75.9,65.7,33.3,393,23,28,2023-2024,25,gr GRE,West Ham,eng Premier League,19,"1,500",16.7,16,3,10,1,0,1,1,0,0,0,482,635,75.9,3,29,1,0,38,9625,3911,155,179,86.6,266,303,87.8,53,131,40.5,10,7,0,0,1,0,2,0,0,0,0,0,0,0,393,2338,1349,10,1,1,7,0,419,2,6,2,33.3,2,33.3,28,16,17,9,2,17,21,81,4,21,13,8,23,51,79,3,44,23,65.7,DF
3,Abdoulaye Doucouré,"2,629",5,67,76.5,37.5,52.1,635,15,43,2023-2024,30,ml MLI,Everton,eng Premier League,32,"2,629",29.2,32,0,0,7,1,8,7,0,0,0,683,893,76.5,34,43,18,1,97,9807,2329,381,453,84.1,239,288,83,28,59,47.5,67,59,0,0,6,1,1,5,3,0,0,2,0,0,635,3292,1692,55,37,17,61,42,800,140,48,25,52.1,21,43.8,43,27,20,14,9,18,46,39.1,28,23,3,20,15,58,19,0,24,40,37.5,"FW,MF"
4,Ezri Konsa,"3,069",6,34,91.1,68.2,55.9,1535,28,54,2023-2024,25,eng ENG,Aston Villa,eng Premier League,35,"3,069",34.1,35,0,0,1,0,1,1,0,0,0,1907,2094,91.1,8,132,14,2,136,31947,10672,827,878,94.2,959,1029,93.2,95,129,73.6,34,25,1,2,2,3,1,6,3,1,0,0,1,1,1535,6930,3700,37,20,3,26,17,1669,33,34,19,55.9,6,17.6,54,32,28,23,3,23,27,85.2,4,36,20,16,28,82,73,3,30,14,68.2,DF
5,Séamus Coleman,665,0,6,67.6,20,46.2,162,7,17,2023-2024,34,ie IRL,Everton,eng Premier League,12,665,7.4,7,5,6,0,0,0,0,0,0,0,207,306,67.6,3,15,4,2,22,3381,1481,111,132,84.1,76,103,73.8,16,51,31.4,6,5,0,1,0,0,0,0,0,0,0,0,0,0,162,837,387,5,5,1,7,4,176,16,13,6,46.2,7,53.8,17,14,10,3,4,11,16,68.8,5,12,4,8,7,24,26,1,1,4,20,DF
6,Nathaniel Clyne,"1,338",1,8,82.5,61.9,50,326,10,24,2023-2024,32,eng ENG,Crystal Palace,eng Premier League,19,"1,338",14.9,14,5,18,0,0,0,0,0,0,0,495,600,82.5,3,33,4,2,33,7555,3021,266,288,92.4,191,224,85.3,28,54,51.9,8,6,0,0,1,0,1,1,0,0,0,1,0,0,326,1435,658,10,12,1,13,0,412,18,16,8,50,6,37.5,24,15,11,11,2,14,21,66.7,7,18,6,12,10,34,33,0,13,8,61.9,DF
7,Elijah Adebayo,"1,419",5,31,70.6,50,26.9,265,6,4,2023-2024,25,eng ENG,Luton Town,eng Premier League,27,"1,419",15.8,16,11,0,10,0,10,10,0,0,0,144,204,70.6,14,9,4,0,23,1847,385,94,122,77,41,60,68.3,3,6,50,31,19,0,5,5,2,0,5,2,0,0,3,0,0,265,1516,425,16,15,13,62,34,337,110,67,18,26.9,46,68.7,4,1,1,0,3,1,12,8.3,11,13,2,11,6,10,25,0,43,43,50,FW
8,Mykhailo Mudryk,"1,576",9,60,68,35,48.1,509,9,21,2023-2024,22,ua UKR,Chelsea,eng Premier League,31,"1,576",17.5,18,13,4,5,2,7,5,0,0,0,385,566,68,32,24,22,4,45,5618,1853,237,300,79,96,148,64.9,30,66,45.5,60,39,10,7,1,3,0,9,3,1,2,1,2,0,509,4183,2418,92,56,36,54,22,572,139,81,39,48.1,31,38.3,21,12,9,7,5,10,32,31.3,22,14,1,13,9,30,9,0,7,13,35,FW
9,Odsonne Édouard,"1,555",2,45,71.1,35.7,38,341,6,24,2023-2024,25,fr FRA,Crystal Palace,eng Premier League,30,"1,555",17.3,17,13,3,7,0,7,7,0,0,0,249,350,71.1,18,12,15,1,36,3106,704,164,207,79.2,61,80,76.3,7,11,63.6,45,29,0,7,7,1,1,2,2,0,0,0,0,0,341,1762,877,33,18,25,55,26,415,100,50,19,38,24,48,24,12,8,8,8,4,19,21.1,15,17,1,16,6,30,19,0,30,54,35.7,"FW,MF"
