,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
201,Ben Mee,"1,272",1,14,76.6,52.2,50,388,13,26,2023-2024,33,eng ENG,Brentford,eng Premier League,16,"1,272",14.1,15,1,2,2,0,2,2,0,0,0,511,667,76.6,6,45,4,2,49,9030,3658,218,249,87.6,235,285,82.5,49,103,47.6,14,11,1,0,2,0,0,1,0,0,0,1,0,0,388,1958,1150,11,4,1,9,7,447,9,6,3,50,3,50,26,15,12,12,2,17,22,77.3,5,21,13,8,13,39,63,1,35,32,52.2,DF
202,Luis Sinisterra,699,3,42,77.4,44.4,59.2,267,8,23,2023-2024,24,co COL,Bournemouth,eng Premier League,20,699,7.8,7,13,4,2,2,4,2,0,0,0,226,292,77.4,20,9,16,1,38,3223,747,145,169,85.8,57,66,86.4,13,20,65,42,27,0,9,4,0,2,3,0,0,0,3,0,0,267,2098,1195,51,20,35,24,10,309,85,49,29,59.2,18,36.7,23,12,9,10,4,9,16,56.3,7,18,0,18,8,31,4,0,16,20,44.4,"FW,MF"
203,Alexander Isak,"2,255",10,72,78.1,20.4,56.8,421,6,5,2023-2024,23,se SWE,Newcastle Utd,eng Premier League,30,"2,255",25.1,27,3,1,21,2,23,16,5,6,1,385,493,78.1,27,28,21,0,71,5446,1167,237,280,84.6,117,142,82.4,15,22,68.2,72,45,0,12,11,4,0,10,4,0,3,2,1,0,421,3052,1613,68,31,38,49,23,511,129,74,42,56.8,28,37.8,5,0,2,1,2,2,8,25,6,16,1,15,6,11,13,0,10,39,20.4,FW
204,Micky van de Ven,"2,339",1,11,93.8,48.1,55.6,1422,18,49,2023-2024,22,nl NED,Tottenham,eng Premier League,27,"2,339",26,27,0,1,3,0,3,3,0,0,0,1698,1810,93.8,1,121,3,0,108,29840,10172,674,698,96.6,894,941,95,99,124,79.8,11,9,0,1,0,1,0,1,0,0,1,0,0,0,1422,6561,3058,19,16,2,15,12,1499,9,27,15,55.6,9,33.3,49,35,34,12,3,24,33,72.7,9,25,15,10,18,67,78,1,38,41,48.1,DF
205,Yehor Yarmoliuk,688,1,17,74.2,47.4,63,207,6,17,2023-2024,19,ua UKR,Brentford,eng Premier League,27,688,7.6,6,21,11,0,0,0,0,0,0,0,221,298,74.2,3,17,10,1,35,3416,801,117,140,83.6,80,102,78.4,12,28,42.9,17,12,0,1,2,2,0,1,1,0,0,0,0,0,207,1267,461,13,7,2,17,10,220,36,27,17,63,7,25.9,17,11,6,8,3,7,17,41.2,10,17,4,13,6,23,5,0,9,10,47.4,MF
206,John McGinn,"2,999",14,106,79.5,32.1,56.3,992,21,59,2023-2024,28,sct SCO,Aston Villa,eng Premier League,35,"2,999",33.3,35,0,0,6,4,10,6,0,0,0,972,1223,79.5,44,124,52,14,189,17953,5844,434,489,88.8,396,462,85.7,130,217,59.9,106,88,9,6,2,1,0,14,11,1,2,0,0,0,992,5176,2385,59,45,10,55,61,1096,84,96,54,56.3,27,28.1,59,35,18,34,7,32,77,41.6,45,33,4,29,21,80,21,0,9,19,32.1,"MF,FW"
207,Teden Mengi,"2,469",0,14,77.6,58.3,63.6,596,57,54,2023-2024,21,eng ENG,Luton Town,eng Premier League,30,"2,469",27.4,28,2,3,1,0,1,1,0,0,0,728,938,77.6,6,62,5,0,54,14286,5525,256,296,86.5,378,431,87.7,82,177,46.3,14,11,0,2,1,0,0,0,0,0,0,0,0,0,596,3222,1660,15,8,2,22,5,616,1,11,7,63.6,3,27.3,54,22,33,20,1,19,30,63.3,11,39,27,12,57,111,140,1,60,43,58.3,DF
208,Vitinho,"2,314",6,44,71.9,46.3,43.1,634,12,64,2023-2024,24,br BRA,Burnley,eng Premier League,32,"2,314",25.7,26,6,2,0,2,2,0,0,0,0,715,994,71.9,11,56,19,4,66,11588,3536,373,445,83.8,282,398,70.9,45,84,53.6,44,33,2,4,3,1,1,6,5,0,0,0,1,0,634,3958,2038,59,38,18,34,26,678,110,58,25,43.1,25,43.1,64,34,36,22,6,43,86,50,43,44,6,38,12,76,47,4,19,22,46.3,"DF,MF"
209,Son Heung-min,"2,934",17,129,82.5,23.8,42.4,927,8,21,2023-2024,31,kr KOR,Tottenham,eng Premier League,35,"2,934",32.6,34,1,0,17,10,27,15,2,2,0,887,1075,82.5,68,40,65,2,139,12123,2822,531,609,87.2,297,338,87.9,23,38,60.5,129,108,0,11,6,3,1,17,13,0,3,0,1,0,927,5688,2989,119,44,64,55,41,1100,325,92,39,42.4,47,51.1,21,13,6,7,8,10,21,47.6,11,4,1,3,8,29,4,0,5,16,23.8,FW
