,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
2801,Marc Wilson,"1,177",0,11,67.2,60.3,83.3,251,17,27,2018-2019,30,ie IRL,Bolton,eng Championship,16,"1,177",13.1,13,3,17,0,0,0,0,0,0,0,356,530,67.2,5,38,8,2,34,7203,3058,123,162,75.9,176,234,75.2,53,124,42.7,11,10,1,0,0,0,0,0,0,0,0,0,0,0,251,1116,490,3,2,0,8,2,292,2,6,5,83.3,1,16.7,27,16,15,12,0,13,25,52,12,17,10,7,17,44,61,2,38,25,60.3,"DF,MF"
2802,Nathan Byrne,"2,349",6,44,64.7,33.9,61.8,585,13,45,2018-2019,26,eng ENG,Wigan Athletic,eng Championship,30,"2,349",26.1,26,4,10,1,3,4,1,0,0,0,688,1063,64.7,18,58,27,15,69,11394,4836,390,461,84.6,199,324,61.4,82,216,38,44,42,0,0,0,2,0,6,6,0,0,0,0,0,585,3731,1862,47,36,7,37,24,684,91,34,21,61.8,13,38.2,45,26,31,13,1,26,47,55.3,21,20,3,17,13,58,64,0,20,39,33.9,"DF,MF"
2803,Adam Webster,"3,744",3,65,74,71.8,72.4,1498,91,61,2018-2019,23,eng ENG,Bristol City,eng Championship,44,"3,744",41.6,43,1,0,3,0,3,3,0,0,0,1937,2616,74,26,184,11,2,240,40150,16649,662,804,82.3,954,1162,82.1,308,596,51.7,65,55,1,1,4,1,3,3,3,0,0,0,0,0,1498,11208,7688,86,45,4,18,17,1665,19,29,21,72.4,8,27.6,61,36,39,18,4,20,36,55.6,16,64,35,29,91,152,190,0,278,109,71.8,DF
2804,George Saville,"2,831",6,83,71.3,47.7,50,754,33,71,2018-2019,25,nir NIR,2 Teams,eng Championship,38,"2,831",31.5,32,6,6,4,0,4,4,0,0,0,834,1169,71.3,40,77,12,4,109,13067,4242,458,544,84.2,291,392,74.2,58,143,40.6,83,54,17,2,6,3,1,6,5,0,0,0,1,0,754,4252,1963,47,29,6,53,34,789,85,40,20,50,20,50,71,45,31,36,4,16,52,30.8,36,47,14,33,33,104,65,0,63,69,47.7,"MF,DF"
2805,Chey Dunkley,"3,312",0,8,65.2,69.9,60,567,44,33,2018-2019,26,eng ENG,Wigan Athletic,eng Championship,38,"3,312",36.8,37,1,3,0,0,0,0,0,0,0,695,1066,65.2,1,47,1,0,47,14068,6931,244,326,74.8,337,462,72.9,104,254,40.9,8,6,0,0,2,0,0,0,0,0,0,0,0,0,567,2459,1113,1,0,0,15,3,639,9,5,3,60,2,40,33,17,22,11,0,8,13,61.5,5,64,49,15,44,77,239,3,218,94,69.9,DF
2806,Yoann Barbet,"2,694",1,49,73.4,51.5,64.3,1159,42,44,2018-2019,25,fr FRA,Brentford,eng Championship,32,"2,694",29.9,30,2,6,1,0,1,1,0,0,0,1507,2054,73.4,14,185,16,4,227,30996,13505,551,657,83.9,709,891,79.6,237,443,53.5,49,36,6,2,2,2,1,1,0,1,0,0,0,0,1159,7006,4656,51,64,2,20,4,1332,45,28,18,64.3,10,35.7,44,31,22,11,11,19,38,50,19,36,10,26,42,86,97,1,69,65,51.5,DF
2807,Yakou Méïte,"2,604",3,33,51,48.1,53.7,451,15,35,2018-2019,22,ci CIV,Reading,eng Championship,37,"2,604",28.9,31,6,1,12,1,13,12,0,0,0,221,433,51,10,9,5,2,18,2901,662,143,215,66.5,57,128,44.5,8,32,25,33,14,0,6,6,7,0,3,1,0,1,1,0,0,451,3197,1229,44,30,19,89,56,570,159,54,29,53.7,25,46.3,35,20,15,16,4,9,23,39.1,14,28,3,25,15,50,34,0,130,140,48.1,"FW,MF"
2808,Rolando Aarons,555,4,18,71.2,37.5,46.7,150,5,10,2018-2019,22,eng ENG,Sheffield Weds,eng Championship,9,555,6.2,6,3,1,1,1,2,1,0,0,0,116,163,71.2,6,3,6,4,6,1334,252,80,99,80.8,16,27,59.3,6,12,50,18,11,0,3,1,3,0,4,2,0,0,0,2,0,150,1162,527,22,17,10,19,10,169,32,30,14,46.7,16,53.3,10,5,6,3,1,3,13,23.1,10,9,0,9,5,15,5,0,6,10,37.5,"MF,FW"
2809,Aiden O'Brien,"1,508",4,39,72.4,28.2,50,327,10,26,2018-2019,24,ie IRL,Millwall,eng Championship,35,"1,508",16.8,15,20,8,2,1,3,2,0,0,0,281,388,72.4,8,20,11,5,37,3582,861,190,231,82.3,64,89,71.9,11,26,42.3,39,28,0,5,1,4,1,4,2,0,0,1,1,0,327,2180,766,27,20,13,34,27,336,87,36,18,50,18,50,26,14,12,10,4,12,22,54.5,10,21,2,19,10,36,12,0,20,51,28.2,"MF,FW"
