,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,
Rk,Player,Gls,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos
201,Francisco Perez,1,"2,049",2023-2024,20,es ESP,Valencia,es La Liga,32,"2,049",22.8,27,5,0,1,4,5,1,0,0,0,"MF,FW"
202,Gonzalo Escalante,1,"1,697",2023-2024,30,ar ARG,Cádiz,es La Liga,25,"1,697",18.9,18,7,5,1,2,3,1,0,0,0,MF
203,Jon Pacheco,1,"1,526",2023-2024,22,es ESP,Real Sociedad,es La Liga,23,"1,526",17,16,7,13,1,1,2,1,0,0,0,DF
204,Alberto Marí,1,276,2023-2024,22,es ESP,Valencia,es La Liga,16,276,3.1,2,14,6,1,1,2,0,1,1,0,FW
205,Unai García,1,560,2023-2024,31,es ESP,Osasuna,es La Liga,9,560,6.2,6,3,17,1,0,1,1,0,0,0,DF
206,Djibril Sow,1,"1,460",2023-2024,26,ch SUI,Sevilla,es La Liga,24,"1,460",16.2,18,6,3,1,1,2,1,0,0,0,MF
207,Jules Koundé,1,"2,899",2023-2024,24,fr FRA,Barcelona,es La Liga,35,"2,899",32.2,32,3,2,1,2,3,1,0,0,0,DF
208,Suso,1,"1,517",2023-2024,29,es ESP,Sevilla,es La Liga,29,"1,517",16.9,15,14,1,1,4,5,1,0,0,0,"MF,FW"
209,Abdul Mumin,1,"1,694",2023-2024,25,gh GHA,Rayo Vallecano,es La Liga,20,"1,694",18.8,19,1,15,1,0,1,1,0,0,0,DF
210,Kaiky,1,523,2023-2024,19,br BRA,Almería,es La Liga,8,523,5.8,5,3,14,1,0,1,1,0,0,0,DF
211,Miguel Ángel Rubio,1,"1,560",2023-2024,25,es ESP,Granada,es La Liga,19,"1,560",17.3,17,2,11,1,0,1,1,0,0,0,DF
212,Óscar Valentín,1,"2,692",2023-2024,28,es ESP,Rayo Vallecano,es La Liga,34,"2,692",29.9,32,2,2,1,0,1,1,0,0,0,MF
213,Étienne Capoue,1,"1,455",2023-2024,35,fr FRA,Villarreal,es La Liga,32,"1,455",16.2,15,17,5,1,1,2,1,0,0,0,MF
214,Carl Starfelt,1,"2,216",2023-2024,28,se SWE,Celta Vigo,es La Liga,27,"2,216",24.6,26,1,7,1,0,1,1,0,0,0,DF
215,Lucas,1,"1,539",2023-2024,22,br BRA,Cádiz,es La Liga,28,"1,539",17.1,15,13,9,1,0,1,1,0,0,0,DF
216,Pablo Maffeo,1,"1,454",2023-2024,26,es ESP,Mallorca,es La Liga,22,"1,454",16.2,17,5,5,1,2,3,1,0,0,0,DF
217,Pep Chavarría,1,"1,167",2023-2024,25,es ESP,Rayo Vallecano,es La Liga,22,"1,167",13,12,10,13,1,1,2,1,0,0,0,"DF,MF"
218,Alfonso Pedraza,1,"1,116",2023-2024,27,es ESP,Villarreal,es La Liga,19,"1,116",12.4,14,5,0,1,3,4,1,0,0,0,DF
219,Radamel Falcao,1,407,2023-2024,37,co COL,Rayo Vallecano,es La Liga,22,407,4.5,2,20,12,1,0,1,0,1,1,0,"FW,DF"
220,Nahuel Tenaglia,1,"1,141",2023-2024,27,ar ARG,Alavés,es La Liga,25,"1,141",12.7,11,14,9,1,0,1,1,0,0,0,DF
221,Daley Blind,1,"2,972",2023-2024,33,nl NED,Girona,es La Liga,34,"2,972",33,33,1,1,1,2,3,1,0,0,0,DF
222,Juan Foyth,1,"1,062",2023-2024,25,ar ARG,Villarreal,es La Liga,12,"1,062",11.8,12,0,0,1,1,2,1,0,0,0,DF
223,Carles Aleñá,1,"1,020",2023-2024,25,es ESP,Getafe,es La Liga,29,"1,020",11.3,10,19,5,1,1,2,1,0,0,0,MF
224,Toni Kroos,1,"2,124",2023-2024,33,de GER,Real Madrid,es La Liga,33,"2,124",23.6,24,9,5,1,8,9,1,0,0,0,MF
225,Hugo Álvarez,1,762,2023-2024,20,es ESP,Celta Vigo,es La Liga,12,762,8.5,8,4,3,1,1,2,1,0,0,0,"MF,DF"
226,Andoni Gorosabel,1,"2,854",2023-2024,26,es ESP,Alavés,es La Liga,36,"2,854",31.7,33,3,1,1,0,1,1,0,0,0,DF
227,Fran Garcia,1,"1,398",2023-2024,23,es ESP,Real Madrid,es La Liga,25,"1,398",15.5,15,10,13,1,5,6,1,0,0,0,DF
