,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
201,Brian Bayeye,"1,110",0,24,69.9,40.9,37,315,13,22,2023-2024,23,cd COD,Ascoli,it Serie B,19,"1,110",12.3,10,9,4,0,0,0,0,0,0,0,384,549,69.9,7,38,15,12,40,6062,2679,203,242,83.9,150,211,71.1,24,69,34.8,24,19,3,1,0,1,0,0,0,0,0,0,0,0,315,1892,984,21,19,2,24,12,333,50,27,10,37,17,63,22,16,12,8,2,17,25,68,8,10,2,8,13,35,22,0,9,13,40.9,DF
202,Stefano Moreo,"2,013",6,43,69.7,55.3,42.9,458,9,16,2023-2024,30,it ITA,Pisa,it Serie B,33,"2,013",22.4,25,8,5,4,2,6,4,0,0,0,433,621,69.7,19,34,10,4,47,6623,1283,259,323,80.2,123,179,68.7,37,56,66.1,43,34,0,0,6,2,1,6,4,0,0,2,0,0,458,2247,760,29,11,3,52,15,628,102,49,21,42.9,21,42.9,16,10,5,11,0,5,17,29.4,12,25,6,19,9,25,39,0,73,59,55.3,"FW,MF"
203,Aljosa Vasic,696,3,17,61.2,57.4,30.8,159,10,14,2023-2024,21,rs SRB,Palermo,it Serie B,19,696,7.7,5,14,7,0,0,0,0,0,0,0,126,206,61.2,7,18,7,2,23,2046,624,71,93,76.3,40,64,62.5,12,25,48,17,12,0,0,0,5,0,3,2,0,0,0,1,0,159,852,370,15,9,3,17,8,186,43,13,4,30.8,5,38.5,14,6,7,5,2,6,12,50,6,8,4,4,10,24,12,0,31,23,57.4,"MF,FW"
204,Nicholas Pierini,"2,114",17,105,70.8,17.9,22.9,575,3,13,2023-2024,24,it ITA,Venezia,it Serie B,38,"2,114",23.5,25,13,0,5,5,10,5,0,0,0,542,766,70.8,52,30,33,3,75,9140,2754,271,319,85,187,258,72.5,64,137,46.7,105,61,30,3,3,8,0,17,9,4,2,0,2,0,575,3573,1520,49,31,18,64,23,652,166,48,11,22.9,32,66.7,13,4,5,4,4,7,14,50,7,17,3,14,3,16,15,1,7,32,17.9,"FW,MF"
205,Luca Ceppitelli,"2,598",2,15,81.5,64.5,50,670,40,50,2023-2024,33,it ITA,FeralpiSalò,it Serie B,30,"2,598",28.9,30,0,4,0,2,2,0,0,0,0,1068,1310,81.5,6,22,1,0,49,21077,7867,350,395,88.6,593,667,88.9,118,226,52.2,15,10,1,0,4,0,0,2,0,1,0,1,0,0,670,2845,1558,2,2,1,16,4,809,2,2,1,50,1,50,50,33,34,15,1,22,36,61.1,14,39,29,10,40,90,143,1,91,50,64.5,DF
206,Jacopo Manconi,"1,655",4,68,71.8,30.8,49.1,365,2,17,2023-2024,29,it ITA,Modena,it Serie B,30,"1,655",18.4,17,13,4,3,2,5,3,0,0,0,255,355,71.8,26,23,13,1,45,4060,1117,142,177,80.2,77,101,76.2,27,43,62.8,68,44,3,9,8,3,1,4,2,0,0,2,0,0,365,2387,1059,44,20,28,63,37,402,96,57,28,49.1,26,45.6,17,8,3,10,4,3,15,20,12,15,2,13,2,19,18,0,12,27,30.8,"FW,MF"
207,Nicola Falasco,"1,247",3,56,53,62.5,50,341,8,15,2023-2024,29,it ITA,Ascoli,it Serie B,17,"1,247",13.9,15,2,1,0,1,1,0,0,0,0,394,744,53,36,46,18,12,41,9022,4515,137,176,77.8,146,256,57,106,281,37.7,56,23,30,1,0,1,1,3,1,2,0,0,0,0,341,1597,853,25,17,1,14,1,392,42,12,6,50,6,50,15,5,5,7,3,7,10,70,3,11,3,8,8,23,25,0,10,6,62.5,DF
208,Fabio Abiuso,"1,234",3,31,63.7,39.2,21.4,209,6,19,2023-2024,20,gr GRE,Modena,it Serie B,23,"1,234",13.7,11,12,11,5,0,5,5,0,0,0,144,226,63.7,14,9,1,0,16,1844,304,88,122,72.1,34,55,61.8,7,11,63.6,31,18,0,2,8,3,0,3,0,0,2,1,0,0,209,947,456,17,11,12,39,20,288,81,14,3,21.4,10,71.4,19,13,4,6,9,7,19,36.8,12,18,2,16,6,25,5,0,40,62,39.2,"FW,MF"
209,Gastón Pereiro,"1,376",6,66,71.5,37.5,63.9,381,0,6,2023-2024,28,uy URU,Ternana,it Serie B,18,"1,376",15.3,18,0,0,5,3,8,5,0,1,1,357,499,71.5,28,46,21,9,75,6352,1904,172,216,79.6,114,158,72.2,56,88,63.6,66,44,8,8,6,0,0,6,4,0,1,1,0,0,381,2414,1258,50,31,12,19,23,465,60,36,23,63.9,12,33.3,6,3,2,3,1,3,9,33.3,6,4,0,4,0,6,9,0,15,25,37.5,FW
