,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
801,Giorgio Cittadini,"1,441",0,11,81.2,69.4,66.7,434,47,44,2022-2023,20,it ITA,Modena,it Serie B,18,"1,441",16,17,1,9,0,0,0,0,0,0,0,509,627,81.2,2,26,0,0,42,9979,3967,161,191,84.3,287,326,88,57,93,61.3,11,8,0,2,1,0,0,0,0,0,0,0,0,0,434,3005,1896,20,7,2,16,4,428,1,24,16,66.7,6,25,44,26,31,13,0,24,39,61.5,15,29,14,15,47,91,82,0,59,26,69.4,DF
802,Salim Diakité,"2,437",4,37,72.1,71.2,42.1,806,50,50,2022-2023,22,ml MLI,Ternana,it Serie B,32,"2,437",27.1,26,6,2,1,0,1,1,0,0,0,891,1235,72.1,13,65,17,6,83,15339,6474,436,524,83.2,357,457,78.1,84,187,44.9,37,24,1,3,4,3,2,4,3,1,0,0,0,0,806,5488,3070,58,41,5,32,16,811,61,57,24,42.1,19,33.3,50,36,32,15,3,29,40,72.5,11,30,10,20,50,100,68,0,52,21,71.2,DF
803,Nicola Bellomo,"1,098",5,36,67.8,21.1,36.7,300,5,17,2022-2023,31,it ITA,Bari,it Serie B,25,"1,098",12.2,15,10,12,2,4,6,2,0,0,0,305,450,67.8,22,39,14,6,38,5570,1881,146,163,89.6,102,139,73.4,45,115,39.1,36,21,14,0,1,0,0,5,2,3,0,0,0,0,300,1852,758,21,15,3,15,17,341,60,30,11,36.7,15,50,17,11,8,7,2,6,26,23.1,20,9,2,7,5,22,10,0,4,15,21.1,MF
804,Hamza El Kaouakibi,780,1,16,75.4,52.6,58.3,297,12,15,2022-2023,24,ma MAR,Benevento,it Serie B,13,780,8.7,8,5,8,0,0,0,0,0,0,0,395,524,75.4,8,28,2,1,35,6230,2538,211,242,87.2,150,198,75.8,23,50,46,16,12,2,1,0,0,1,1,0,1,0,0,0,0,297,1795,1016,21,19,2,4,8,349,37,12,7,58.3,5,41.7,15,7,7,7,1,7,18,38.9,11,18,8,10,12,27,24,0,10,9,52.6,DF
805,Simone Mazzocchi,"2,006",4,38,67.2,37.4,25,368,7,16,2022-2023,23,it ITA,Südtirol,it Serie B,33,"2,006",22.3,28,5,0,3,0,3,3,0,1,1,321,478,67.2,14,15,11,3,33,4778,836,177,237,74.7,113,146,77.4,18,34,52.9,38,26,1,1,9,1,0,4,4,0,0,0,0,0,368,1782,681,25,19,6,53,32,484,119,36,9,25,23,63.9,16,10,2,8,6,6,21,28.6,15,14,5,9,7,23,26,0,43,72,37.4,FW
806,Milan Badelj,"2,139",6,56,81.6,58.6,41.9,911,48,39,2022-2023,33,hr CRO,Genoa,it Serie B,26,"2,139",23.8,26,0,4,3,1,4,3,0,0,0,1232,1509,81.6,21,155,20,3,192,22683,8354,498,567,87.8,563,655,86,140,218,64.2,56,51,1,0,2,1,1,6,5,0,0,0,1,0,911,3608,1785,18,19,2,27,13,1168,36,31,13,41.9,13,41.9,39,21,23,11,5,21,53,39.6,32,38,10,28,48,87,39,1,17,12,58.6,MF
807,Salvatore Elia,803,1,26,57.7,33.3,23.5,195,11,10,2022-2023,23,it ITA,Palermo,it Serie B,10,803,8.9,10,0,0,3,0,3,3,0,0,0,128,222,57.7,6,12,6,3,18,2207,642,70,94,74.5,43,71,60.6,12,36,33.3,26,16,1,0,1,8,0,1,0,0,0,0,1,0,195,1532,802,25,15,7,32,16,217,62,34,8,23.5,14,41.2,10,4,4,3,3,2,10,20,8,14,2,12,11,21,5,0,4,8,33.3,"FW,MF"
808,Joel Pohjanpalo,"2,886",11,67,68.3,51.2,46.4,427,3,9,2022-2023,27,fi FIN,Venezia,it Serie B,37,"2,886",32.1,35,2,0,19,7,26,16,3,4,1,442,647,68.3,38,26,17,1,52,6526,1010,248,338,73.4,138,195,70.8,31,53,58.5,67,50,0,4,10,3,0,11,7,0,0,3,1,0,427,1828,581,24,14,10,71,10,700,149,28,13,46.4,12,42.9,9,6,2,5,2,4,8,50,4,13,8,5,3,12,31,0,108,103,51.2,FW
809,Daniele Baselli,918,0,33,80.2,62.5,40,350,11,26,2022-2023,30,it ITA,Como,it Serie B,18,918,10.2,11,7,3,1,0,1,1,0,0,0,462,576,80.2,12,50,9,1,61,8250,3154,199,228,87.3,186,218,85.3,58,103,56.3,33,27,5,0,1,0,0,0,0,0,0,0,0,0,350,1774,882,11,12,1,11,5,406,14,15,6,40,4,26.7,26,14,18,7,1,9,21,42.9,12,13,2,11,11,37,15,0,10,6,62.5,MF
810,Luca Vido,411,2,24,69.2,39.4,64.3,145,1,8,2022-2023,25,it ITA,Palermo,it Serie B,25,411,4.6,2,23,6,1,0,1,0,1,1,0,117,169,69.2,12,9,6,0,17,1648,400,75,99,75.8,31,43,72.1,7,12,58.3,24,15,0,2,6,1,0,2,1,0,0,0,1,0,145,815,381,11,4,3,15,7,180,44,14,9,64.3,4,28.6,8,4,1,5,2,3,7,42.9,4,3,0,3,1,9,5,0,13,20,39.4,"FW,MF"
811,Edoardo Masciangelo,"1,021",2,24,72.7,72.7,40,309,14,12,2022-2023,26,it ITA,2 Teams,it Serie B,19,"1,021",11.3,11,8,12,0,2,2,0,0,0,0,370,509,72.7,12,33,10,6,28,6110,2424,200,222,90.1,137,184,74.5,29,73,39.7,24,17,4,1,1,1,0,2,2,0,0,0,0,0,309,1811,882,24,12,9,14,10,358,51,15,6,40,5,33.3,12,7,11,0,1,6,12,50,6,16,3,13,14,26,17,1,8,3,72.7,DF
