,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1601,Michael Fabbro,"1,553",7,43,75.4,33.3,53.6,365,10,14,2020-2021,24,it ITA,Chievo,it Serie B,31,"1,553",17.3,18,13,4,2,1,3,2,0,0,0,294,390,75.4,15,12,5,2,12,3997,362,185,224,82.6,74,103,71.8,15,25,60,43,26,1,2,7,6,1,7,5,0,0,1,1,0,365,2303,695,28,16,12,64,29,438,135,28,15,53.6,13,46.4,14,6,5,8,1,5,13,38.5,8,12,1,11,10,24,11,0,27,54,33.3,FW
1602,Luca Mazzitelli,"2,860",11,98,72.8,58.8,62.5,1186,72,78,2020-2021,24,it ITA,Pisa,it Serie B,34,"2,860",31.8,33,1,0,5,3,8,5,0,0,0,1227,1686,72.8,36,222,24,5,282,25724,9108,418,522,80.1,562,720,78.1,232,369,62.9,98,79,2,6,9,1,1,11,4,0,2,4,0,1,1186,6081,2836,44,36,3,40,41,1303,60,40,25,62.5,15,37.5,78,43,30,36,12,30,75,40,45,54,9,45,72,150,65,1,80,56,58.8,MF
1603,Loris Zonta,"1,621",2,26,72.5,19.2,53.8,396,11,31,2020-2021,23,it ITA,Vicenza Virtus,it Serie B,30,"1,621",18,19,11,5,1,2,3,1,0,0,0,444,612,72.5,14,36,11,3,58,6338,2627,256,299,85.6,152,192,79.2,16,56,28.6,26,25,0,0,0,1,0,2,2,0,0,0,0,0,396,2027,850,20,21,5,27,15,439,73,13,7,53.8,6,46.2,31,13,11,15,5,17,21,81,4,25,1,24,11,42,19,0,5,21,19.2,"MF,DF"
1604,Leonardo Sernicola,"1,923",2,27,76.2,51.7,68,743,53,34,2020-2021,23,it ITA,SPAL,it Serie B,29,"1,923",21.4,21,8,7,0,1,1,0,0,0,0,857,1124,76.2,15,68,19,15,95,14615,5466,381,434,87.8,396,506,78.3,61,131,46.6,27,21,1,0,3,2,0,2,1,0,0,1,0,0,743,3666,1785,33,17,11,25,9,783,104,25,17,68,8,32,34,21,24,9,1,11,20,55,9,27,8,19,53,87,61,0,31,29,51.7,DF
1605,Aleš Matějů,"2,138",2,31,80.7,67.7,58.3,918,49,43,2020-2021,24,cz CZE,Brescia,it Serie B,26,"2,138",23.8,24,2,9,1,2,3,1,0,0,0,1108,1373,80.7,13,72,13,6,107,19668,7492,473,539,87.8,508,599,84.8,116,192,60.4,31,26,3,0,2,0,0,2,2,0,0,0,0,0,918,5458,2976,49,28,3,20,12,913,47,12,7,58.3,5,41.7,43,25,31,12,0,21,36,58.3,15,25,11,14,49,92,78,0,63,30,67.7,DF
1606,Sergio Floccari,"1,047",2,23,74.3,42.9,72.7,296,6,15,2020-2021,38,it ITA,SPAL,it Serie B,23,"1,047",11.6,10,13,1,1,2,3,1,0,0,0,251,338,74.3,9,11,6,0,26,3747,500,138,173,79.8,80,103,77.7,16,20,80,23,20,1,0,1,1,0,2,2,0,0,0,0,0,296,1539,376,11,10,0,49,19,364,83,22,16,72.7,6,27.3,15,9,5,5,5,2,7,28.6,5,7,4,3,6,21,10,0,30,40,42.9,FW
1607,Domenico Frare,"1,354",1,5,78,39,50,362,23,22,2020-2021,24,it ITA,Cittadella,it Serie B,17,"1,354",15,15,2,16,1,0,1,1,0,0,0,457,586,78,0,15,2,0,36,9309,3663,123,155,79.4,278,328,84.8,50,93,53.8,5,5,0,0,0,0,0,1,1,0,0,0,0,0,362,2009,1154,6,1,0,5,0,361,0,2,1,50,1,50,22,12,15,7,0,11,16,68.8,5,18,13,5,23,45,64,0,16,25,39,DF
1608,Filip Đorđević,"1,429",0,26,65.4,46.8,25,263,5,18,2020-2021,32,rs SRB,Chievo,it Serie B,26,"1,429",15.9,16,10,7,4,0,4,4,0,0,0,244,373,65.4,8,23,11,1,38,3244,734,146,207,70.5,63,100,63,10,18,55.6,26,19,1,0,6,0,0,0,0,0,0,0,0,0,263,1186,437,14,9,5,41,13,382,79,12,3,25,9,75,18,13,6,6,6,8,22,36.4,14,13,3,10,5,23,18,0,51,58,46.8,FW
1609,Jaime Báez,"2,530",16,134,68.2,27.1,50,877,6,32,2020-2021,25,uy URU,2 Teams,it Serie B,36,"2,530",28.1,28,8,0,2,8,10,2,0,0,0,726,1064,68.2,64,68,43,20,118,12243,4066,373,443,84.2,235,332,70.8,88,200,44,134,94,17,7,10,5,1,16,13,0,2,0,1,0,877,5656,2555,87,50,32,88,58,991,262,76,38,50,38,50,32,20,15,7,10,15,40,37.5,25,26,4,22,6,38,14,0,13,35,27.1,"FW,MF"
