,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
2001,Simone Palombi,"1,589",3,41,73.7,26.7,37.1,348,5,10,2019-2020,23,it ITA,Cremonese,it Serie B,32,"1,589",17.7,18,14,6,6,1,7,6,0,0,0,320,434,73.7,18,19,11,5,28,5387,912,158,200,79,117,147,79.6,32,49,65.3,41,32,0,5,3,1,0,3,3,0,0,0,0,0,348,2489,1277,46,23,23,30,15,456,140,35,13,37.1,22,62.9,10,6,4,4,2,2,12,16.7,10,6,0,6,5,15,10,0,12,33,26.7,"FW,MF"
2002,Karim Laribi,531,0,26,72.1,11.1,73.7,221,2,7,2019-2020,28,tn TUN,Empoli,it Serie B,13,531,5.9,5,8,5,0,0,0,0,0,0,0,215,298,72.1,9,15,8,2,28,3714,780,107,125,85.6,74,103,71.8,28,49,57.1,26,15,4,5,0,2,0,0,0,0,0,0,0,0,221,1437,684,18,16,4,11,13,277,43,19,14,73.7,5,26.3,7,4,3,4,0,3,8,37.5,5,3,1,2,2,9,1,0,1,8,11.1,MF
2003,Mirko Eramo,"2,122",4,56,72.6,59.6,40.9,579,32,44,2019-2020,30,it ITA,2 Teams,it Serie B,34,"2,122",23.6,24,10,1,2,2,4,2,0,0,0,717,988,72.6,29,73,24,7,112,12499,3680,328,392,83.7,302,398,75.9,70,152,46.1,56,50,2,1,0,2,1,4,3,1,0,0,0,0,579,3274,1785,38,38,4,41,8,734,77,22,9,40.9,13,59.1,44,33,21,15,8,18,50,36,32,43,7,36,32,76,30,0,65,44,59.6,MF
2004,Riccardo Maniero,"1,544",5,40,66.1,47.8,42.9,274,6,8,2019-2020,31,it ITA,Pescara,it Serie B,30,"1,544",17.2,17,13,7,6,2,8,3,3,3,0,265,401,66.1,16,26,8,0,40,3625,916,161,227,70.9,65,98,66.3,17,30,56.7,40,33,0,2,2,3,0,5,4,0,0,0,1,0,274,910,294,9,5,2,43,17,431,96,14,6,42.9,8,57.1,8,6,2,6,0,3,12,25,9,12,2,10,6,14,19,0,64,70,47.8,FW
2005,Giacomo Calò,"2,931",18,153,66.8,45.8,42.9,952,38,55,2019-2020,22,it ITA,Juve Stabia,it Serie B,33,"2,931",32.6,33,0,3,4,13,17,4,0,0,0,1289,1931,66.8,84,190,22,6,153,28777,10356,433,490,88.4,514,681,75.5,315,676,46.6,153,67,62,0,4,15,5,18,5,11,0,1,1,0,952,5650,2836,36,23,1,33,11,1320,40,28,12,42.9,16,57.1,55,41,21,30,4,27,45,60,18,24,10,14,38,93,44,1,22,26,45.8,MF
2006,Francesco Lisi,"2,947",11,107,69.5,49.1,45.1,872,26,33,2019-2020,29,it ITA,Pisa,it Serie B,34,"2,947",32.7,33,1,2,4,6,10,4,0,0,0,980,1410,69.5,49,93,48,28,130,18470,8061,441,502,87.8,386,549,70.3,135,274,49.3,107,81,9,4,4,9,0,11,7,0,2,1,1,0,872,6882,3933,149,74,43,57,19,978,207,82,37,45.1,45,54.9,33,16,18,12,3,17,40,42.5,23,17,5,12,26,59,46,0,27,28,49.1,DF
2007,Antonio Candela,405,0,6,80.5,33.3,50,144,6,11,2019-2020,19,it ITA,Trapani,it Serie B,7,405,4.5,4,3,12,0,0,0,0,0,0,0,190,236,80.5,3,19,4,2,26,2859,1206,104,112,92.9,69,85,81.2,10,20,50,6,6,0,0,0,0,0,0,0,0,0,0,0,0,144,970,575,13,6,0,5,2,165,20,8,4,50,4,50,11,6,8,3,0,4,9,44.4,5,0,0,0,6,17,13,0,2,4,33.3,DF
2008,Filippo Bandinelli,"1,761",6,66,76.8,30.6,56.5,567,15,31,2019-2020,24,it ITA,Empoli,it Serie B,29,"1,761",19.6,23,6,2,1,1,2,1,0,0,0,559,728,76.8,23,73,21,7,92,9301,2586,283,321,88.2,209,257,81.3,51,96,53.1,66,47,0,5,2,10,2,6,3,0,0,1,2,0,567,3630,2139,66,42,16,30,28,692,112,46,26,56.5,20,43.5,31,19,6,18,7,13,41,31.7,28,23,2,21,15,46,33,4,11,25,30.6,MF
2009,Freddie Veseli,"1,559",2,43,84.8,19,44.4,760,19,22,2019-2020,26,al ALB,Empoli,it Serie B,18,"1,559",17.3,17,1,1,0,1,1,0,0,0,0,1058,1247,84.8,14,69,14,3,95,17716,6062,546,583,93.7,396,478,82.8,99,143,69.2,43,35,6,0,0,2,0,2,1,0,0,0,1,0,760,3658,2132,31,29,1,16,9,916,55,9,4,44.4,5,55.6,22,15,8,10,4,11,24,45.8,13,13,7,6,19,41,33,0,4,17,19,DF
2010,Christian D'Urso,"1,738",3,67,79.2,29.6,75.6,635,8,34,2019-2020,22,it ITA,Cittadella,it Serie B,26,"1,738",19.3,23,3,6,4,0,4,4,0,0,0,635,802,79.2,32,68,24,3,101,9978,2495,317,386,82.1,230,272,84.6,53,84,63.1,67,47,5,9,3,2,1,3,1,0,1,0,1,0,635,3432,1385,40,35,8,46,43,679,122,78,59,75.6,19,24.4,34,24,13,13,8,6,18,33.3,12,22,0,22,8,42,2,0,8,19,29.6,MF
