,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1001,Marvin Zeegelaar,643,0,1,77.1,65,71.4,166,12,15,2021-2022,30,nl NED,Udinese,it Serie A,14,643,7.1,6,8,22,0,0,0,0,0,0,0,246,319,77.1,1,17,1,0,23,4120,1846,114,138,82.6,103,131,78.6,20,32,62.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,166,837,422,4,6,0,5,2,200,5,7,5,71.4,2,28.6,15,11,6,8,1,5,14,35.7,9,12,4,8,12,27,22,1,13,7,65,DF
1002,Michael Svoboda,"1,236",1,6,81.5,49.1,66.7,437,10,33,2021-2022,22,at AUT,Venezia,it Serie A,18,"1,236",13.7,13,5,17,0,0,0,0,0,0,0,508,623,81.5,0,26,1,0,42,10228,3799,184,202,91.1,240,268,89.6,77,127,60.6,6,5,0,0,0,0,1,1,1,0,0,0,0,0,437,2379,1441,11,8,0,6,6,441,1,3,2,66.7,1,33.3,33,17,26,6,1,18,32,56.3,14,27,15,12,10,43,61,5,26,27,49.1,DF
1003,Wilfried Singo,"2,607",6,58,76.2,56,50.6,974,23,55,2021-2022,20,ci CIV,Torino,it Serie A,35,"2,607",29,32,3,0,3,4,7,3,0,0,0,1065,1397,76.2,23,63,31,15,89,17613,5734,506,579,87.4,459,574,80,74,147,50.3,58,43,2,2,6,4,1,6,6,0,0,0,0,0,974,5708,2780,69,56,18,66,18,1038,157,81,41,50.6,40,49.4,55,35,24,24,7,24,34,70.6,10,26,6,20,23,78,47,0,42,33,56,DF
1004,Omar Colley,"2,745",1,10,83.6,59.6,100,986,80,47,2021-2022,28,gm GAM,Sampdoria,it Serie A,32,"2,745",30.5,31,1,0,0,0,0,0,0,0,0,1211,1448,83.6,0,63,2,0,83,23118,7682,393,432,91,684,761,89.9,110,207,53.1,10,7,0,0,1,1,1,1,0,0,0,1,0,0,986,4578,2476,12,11,0,11,1,1001,4,3,3,100,0,0,47,36,32,14,1,22,32,68.8,10,31,19,12,80,127,135,2,56,38,59.6,DF
1005,Luca Ranieri,"2,103",1,26,70.3,52.9,47.2,564,22,38,2021-2022,22,it ITA,2 Teams,it Serie A,27,"2,103",23.4,25,2,3,1,0,1,1,0,0,0,698,993,70.3,11,56,17,14,76,11546,5442,339,396,85.6,280,401,69.8,58,123,47.2,26,23,2,0,1,0,0,1,1,0,0,0,0,0,564,2654,1488,37,22,1,21,10,644,69,36,17,47.2,19,52.8,38,21,23,11,4,19,33,57.6,14,18,8,10,22,60,67,0,18,16,52.9,DF
1006,Mato Jajalo,629,2,17,79.2,35.3,75,184,11,24,2021-2022,33,ba BIH,Udinese,it Serie A,22,629,7,6,16,15,0,1,1,0,0,0,0,252,318,79.2,8,27,7,0,31,4139,1374,117,138,84.8,101,122,82.8,22,33,66.7,17,12,0,1,3,1,0,2,1,0,0,0,1,0,184,744,321,3,3,1,10,5,223,7,4,3,75,1,25,24,14,14,7,3,11,23,47.8,12,7,0,7,11,35,5,0,6,11,35.3,MF
1007,Victor Osimhen,"1,983",8,61,68.6,47.1,55.6,380,3,10,2021-2022,22,ng NGA,Napoli,it Serie A,27,"1,983",22,23,4,0,14,2,16,14,0,0,0,232,338,68.6,17,9,2,0,18,3347,423,137,169,81.1,61,92,66.3,19,30,63.3,61,39,0,8,4,8,2,8,4,0,0,0,3,1,380,2521,1059,49,36,24,76,32,502,178,54,30,55.6,24,44.4,10,5,1,2,7,2,6,33.3,4,16,3,13,3,13,17,0,49,55,47.1,FW
1008,Lorenzo Tonelli,870,1,14,82.7,59.6,80,352,19,17,2021-2022,31,it ITA,2 Teams,it Serie A,14,870,9.7,8,6,12,0,0,0,0,0,0,0,463,560,82.7,6,40,5,1,43,9035,4197,161,179,89.9,237,263,90.1,58,99,58.6,14,11,0,0,1,1,1,1,1,0,0,0,0,0,352,1770,1172,7,1,0,7,3,392,3,5,4,80,1,20,17,9,11,4,2,6,13,46.2,7,14,8,6,19,36,28,2,28,19,59.6,DF
1009,Adrien Tameze,"2,574",6,63,79.4,52.6,56.7,868,52,52,2021-2022,27,cm CMR,Hellas Verona,it Serie A,38,"2,574",28.6,26,12,0,4,2,6,4,0,0,0,1028,1295,79.4,28,108,22,6,134,16802,5580,514,602,85.4,390,465,83.9,86,137,62.8,63,52,1,5,1,1,3,6,5,0,1,0,0,0,868,4631,2317,55,33,10,51,26,930,96,60,34,56.7,26,43.3,52,29,24,21,7,20,59,33.9,39,40,5,35,52,104,41,0,61,55,52.6,"MF,DF"
