,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1001,Fernando Marçal,"1,449",2,22,75.4,59.1,50,526,28,42,2021-2022,32,br BRA,Wolves,eng Premier League,18,"1,449",16.1,17,1,14,0,0,0,0,0,0,0,669,887,75.4,10,35,9,4,50,10434,3383,356,394,90.4,264,347,76.1,35,87,40.2,22,19,1,0,1,1,0,2,0,1,0,1,0,0,526,2466,1447,39,26,4,25,6,624,98,14,7,50,7,50,42,22,27,14,1,21,37,56.8,16,25,4,21,28,70,52,0,26,18,59.1,"MF,DF"
1002,Rayan Aït-Nouri,"1,828",6,45,74.4,56.7,51.9,659,22,64,2021-2022,20,dz ALG,Wolves,eng Premier League,23,"1,828",20.3,20,3,12,1,2,3,1,0,0,0,763,1025,74.4,17,28,14,10,49,12151,4064,418,472,88.6,273,361,75.6,54,141,38.3,45,30,8,4,0,2,1,6,4,1,0,0,1,0,659,3744,1969,60,38,19,44,27,736,127,81,42,51.9,39,48.1,64,36,46,15,3,22,44,50,22,24,2,22,22,86,39,1,17,13,56.7,"DF,MF"
1003,Luke Shaw,"1,601",6,69,79.1,57.1,50,682,9,21,2021-2022,26,eng ENG,Manchester Utd,eng Premier League,20,"1,601",17.8,19,1,2,0,3,3,0,0,0,0,944,1193,79.1,39,74,16,5,82,14230,5275,551,612,90,294,361,81.4,64,134,47.8,69,45,21,1,0,0,2,6,5,1,0,0,0,0,682,3798,2191,48,42,3,11,14,836,69,14,7,50,7,50,21,13,9,9,3,12,21,57.1,9,22,11,11,9,30,22,2,20,15,57.1,DF
1004,Alexandre Lacazette,"1,782",9,71,75.4,30.9,57.6,349,5,27,2021-2022,30,fr FRA,Arsenal,eng Premier League,30,"1,782",19.8,20,10,5,4,7,11,2,2,3,1,343,455,75.4,29,30,19,1,52,4595,1048,215,264,81.4,89,117,76.1,12,21,57.1,71,49,0,4,6,10,2,9,6,0,0,1,1,1,349,1538,611,19,15,13,43,29,489,106,33,19,57.6,14,42.4,27,10,8,13,6,7,21,33.3,14,12,1,11,5,32,6,0,21,47,30.9,FW
1005,Aaron Wan-Bissaka,"1,793",1,35,81.1,37.3,59,716,34,49,2021-2022,23,eng ENG,Manchester Utd,eng Premier League,20,"1,793",19.9,20,0,10,0,0,0,0,0,0,0,925,1141,81.1,14,52,12,8,61,12449,4048,598,657,91,255,307,83.1,36,67,53.7,35,29,0,3,1,1,1,1,1,0,0,0,0,0,716,4088,2131,55,41,8,23,13,815,90,61,36,59,25,41,49,36,25,18,6,14,20,70,6,24,14,10,34,83,41,2,19,32,37.3,DF
1006,Adam Forshaw,"1,530",2,35,82.5,50,63.2,539,19,53,2021-2022,29,eng ENG,Leeds United,eng Premier League,22,"1,530",17,17,5,4,0,1,1,0,0,0,0,695,842,82.5,13,68,8,0,80,11652,3225,342,389,87.9,253,290,87.2,73,103,70.9,35,31,0,1,3,0,0,2,2,0,0,0,0,0,539,2507,1137,19,12,2,24,11,629,26,19,12,63.2,7,36.8,53,23,21,27,5,21,54,38.9,33,17,1,16,19,72,12,2,11,11,50,MF
1007,Ben Godfrey,"2,029",2,32,75.6,45.6,75,456,15,47,2021-2022,23,eng ENG,Everton,eng Premier League,23,"2,029",22.5,23,0,1,0,0,0,0,0,0,0,611,808,75.6,12,47,13,4,67,10370,3667,277,335,82.7,285,354,80.5,36,79,45.6,32,25,2,1,2,0,2,2,1,0,0,1,0,0,456,2466,1280,23,24,0,24,4,521,26,12,9,75,3,25,47,32,29,14,4,24,39,61.5,15,41,19,22,15,62,100,2,36,43,45.6,DF
1008,Raphaël Varane,"1,831",2,9,87.7,73.3,66.7,818,18,28,2021-2022,28,fr FRA,Manchester Utd,eng Premier League,22,"1,831",20.3,20,2,2,1,1,2,1,0,0,0,1014,1156,87.7,4,65,1,0,49,20563,6918,305,339,90,584,629,92.8,118,168,70.2,9,9,0,0,0,0,0,2,2,0,0,0,0,0,818,4704,2662,11,8,0,7,0,897,2,3,2,66.7,1,33.3,28,19,21,6,1,10,22,45.5,12,18,9,9,18,46,82,1,55,20,73.3,DF
1009,Romain Saïss,"2,705",0,16,79.5,59,70,1168,58,40,2021-2022,31,ma MAR,Wolves,eng Premier League,31,"2,705",30.1,31,0,2,2,0,2,2,0,0,0,1437,1808,79.5,7,159,1,0,137,26860,12453,585,658,88.9,691,812,85.1,148,298,49.7,16,15,0,0,1,0,0,0,0,0,0,0,0,0,1168,4917,2771,18,20,0,10,5,1412,9,10,7,70,3,30,40,27,28,11,1,19,33,57.6,14,41,21,20,58,98,158,2,72,50,59,DF
1010,Will Hughes,"1,053",4,23,81.2,35.5,66.7,324,8,29,2021-2022,26,eng ENG,Crystal Palace,eng Premier League,16,"1,053",11.7,13,3,15,0,1,1,0,0,0,0,436,537,81.2,9,31,6,2,38,7228,1815,206,232,88.8,184,205,89.8,31,64,48.4,23,15,3,0,0,2,3,4,1,1,0,0,1,1,324,1412,595,5,12,0,15,9,383,7,12,8,66.7,4,33.3,29,14,10,16,3,7,16,43.8,9,13,7,6,8,37,10,0,11,20,35.5,MF
1011,Marcus Rashford,"1,235",3,27,71.7,27,41.5,359,5,6,2021-2022,23,eng ENG,Manchester Utd,eng Premier League,25,"1,235",13.7,13,12,3,4,2,6,4,0,0,0,304,424,71.7,9,18,10,1,28,3973,706,199,252,79,82,110,74.5,7,20,35,27,16,0,5,2,4,0,3,3,0,0,0,0,0,359,2401,1184,50,30,26,39,26,463,118,53,22,41.5,31,58.5,6,5,1,4,1,2,13,15.4,11,10,1,9,5,11,5,1,10,27,27,"FW,MF"
1012,Steven Bergwijn,565,3,21,81.4,44.4,50,171,1,3,2021-2022,23,nl NED,Tottenham,eng Premier League,25,565,6.3,4,21,7,3,1,4,3,0,0,0,144,177,81.4,8,9,6,0,17,1756,392,98,113,86.7,30,38,78.9,4,7,57.1,21,15,1,2,1,2,0,3,1,0,1,0,1,0,171,1294,728,26,16,10,28,14,203,53,20,10,50,10,50,3,2,2,1,0,1,10,10,9,3,0,3,1,4,8,0,4,5,44.4,"FW,MF"
1013,Sean Longstaff,"1,464",3,26,79.6,41.9,54.5,372,9,54,2021-2022,23,eng ENG,Newcastle Utd,eng Premier League,24,"1,464",16.3,15,9,13,1,1,2,1,0,0,0,481,604,79.6,7,44,4,0,43,8348,2303,229,271,84.5,177,200,88.5,52,89,58.4,26,22,2,0,1,0,1,3,2,1,0,0,0,0,372,1366,429,2,7,1,22,18,430,15,11,6,54.5,5,45.5,54,34,18,31,5,24,65,36.9,41,18,6,12,9,63,18,0,13,18,41.9,MF
1014,Joe Willock,"2,038",4,51,79.6,40,50.7,494,21,64,2021-2022,21,eng ENG,Newcastle Utd,eng Premier League,29,"2,038",22.6,24,5,2,2,0,2,2,0,0,0,450,565,79.6,18,38,7,1,58,6691,1794,253,299,84.6,150,177,84.7,28,40,70,51,33,0,9,1,6,2,4,1,0,1,0,2,0,494,3203,1571,48,30,14,56,20,496,77,71,36,50.7,35,49.3,64,37,30,28,6,29,68,42.6,39,37,6,31,21,85,10,1,16,24,40,MF
