,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,
Rk,Player,Gls,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos
401,Álvaro Negredo,0,54,2023-2024,37,es ESP,Cádiz,es La Liga,7,54,0.6,0,7,15,0,0,0,0,0,0,0,"FW,MF"
402,Dion Lopy,0,"1,916",2023-2024,21,sn SEN,Almería,es La Liga,30,"1,916",21.3,23,7,5,0,0,0,0,0,0,0,MF
403,Miguel,0,65,2023-2024,23,es ESP,Alavés,es La Liga,3,65,0.7,1,2,0,0,0,0,0,0,0,0,"FW,MF"
404,Enzo Loiodice,0,"1,790",2023-2024,22,fr FRA,Las Palmas,es La Liga,34,"1,790",19.9,19,15,4,0,1,1,0,0,0,0,MF
405,José Mari,0,14,2023-2024,35,es ESP,Cádiz,es La Liga,3,14,0.2,0,3,14,0,0,0,0,0,0,0,"MF,FW"
406,Ricardo Visus,0,166,2023-2024,22,es ESP,Betis,es La Liga,3,166,1.8,1,2,9,0,0,0,0,0,0,0,DF
407,Arthur Vermeeren,0,162,2023-2024,18,be BEL,Atlético Madrid,es La Liga,5,162,1.8,2,3,13,0,0,0,0,0,0,0,MF
408,Fali,0,"2,547",2023-2024,29,es ESP,Cádiz,es La Liga,30,"2,547",28.3,30,0,4,0,0,0,0,0,0,0,DF
409,Daley Sinkgraven,0,374,2023-2024,28,nl NED,Las Palmas,es La Liga,10,374,4.2,6,4,18,0,0,0,0,0,0,0,DF
410,Marcos Peña,0,441,2023-2024,18,es ESP,Almería,es La Liga,7,441,4.9,4,3,5,0,0,0,0,0,0,0,MF
411,Gonzalo García,0,19,2023-2024,19,es ESP,Real Madrid,es La Liga,2,19,0.2,0,2,4,0,0,0,0,0,0,0,"FW,MF"
412,Ruben Lendinez,0,11,2023-2024,20,es ESP,Valencia,es La Liga,1,11,0.1,0,1,17,0,0,0,0,0,0,0,DF
413,Borja Iglesias,0,408,2023-2024,30,es ESP,Betis,es La Liga,11,408,4.5,4,7,9,0,1,1,0,0,0,0,FW
414,Adrià Altimira,0,775,2023-2024,22,es ESP,Villarreal,es La Liga,11,775,8.6,10,1,7,0,0,0,0,0,0,0,"DF,MF"
415,Javier Manquillo,0,744,2023-2024,29,es ESP,Celta Vigo,es La Liga,12,744,8.3,10,2,3,0,1,1,0,0,0,0,"DF,MF"
416,Unai Ropero,0,5,2023-2024,21,es ESP,Alavés,es La Liga,1,5,0.1,0,1,1,0,0,0,0,0,0,0,MF
417,José Callejón,0,803,2023-2024,36,es ESP,Granada,es La Liga,25,803,8.9,7,18,13,0,1,1,0,0,0,0,"MF,FW"
418,Eduardo Camavinga,0,"1,817",2023-2024,20,fr FRA,Real Madrid,es La Liga,31,"1,817",20.2,21,10,0,0,2,2,0,0,0,0,"MF,DF"
419,Abner,0,"1,400",2023-2024,23,br BRA,Betis,es La Liga,23,"1,400",15.6,15,8,10,0,1,1,0,0,0,0,DF
420,Luiz Henrique,0,616,2023-2024,22,br BRA,Betis,es La Liga,14,616,6.8,6,8,2,0,3,3,0,0,0,0,FW
421,Jaume Costa,0,"1,682",2023-2024,35,es ESP,Mallorca,es La Liga,30,"1,682",18.7,19,11,6,0,1,1,0,0,0,0,DF
