,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,
Rk,Player,Gls,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos
401,Alex Sola,0,349,2022-2023,23,es ESP,Real Sociedad,es La Liga,10,349,3.9,3,7,16,0,0,0,0,0,0,0,DF
402,Johan Mojica,0,912,2022-2023,29,co COL,2 Teams,es La Liga,20,912,10.1,8,12,18,0,0,0,0,0,0,0,DF
403,Roberto Arroyo,0,15,2022-2023,18,es ESP,Valladolid,es La Liga,1,15,0.2,0,1,3,0,0,0,0,0,0,0,MF
404,José Antonio,0,46,2022-2023,18,es ESP,Cádiz,es La Liga,2,46,0.5,0,2,4,0,1,1,0,0,0,0,"MF,DF"
405,Pep Chavarría,0,366,2022-2023,24,es ESP,Rayo Vallecano,es La Liga,16,366,4.1,2,14,18,0,2,2,0,0,0,0,"FW,MF"
406,Alfonso Pedraza,0,"1,633",2022-2023,26,es ESP,Villarreal,es La Liga,26,"1,633",18.1,20,6,2,0,3,3,0,0,0,0,DF
407,Carlos Martín,0,28,2022-2023,20,es ESP,Atlético Madrid,es La Liga,4,28,0.3,0,4,8,0,0,0,0,0,0,0,"FW,MF"
408,Raúl Parra,0,310,2022-2023,22,es ESP,Cádiz,es La Liga,6,310,3.4,4,2,17,0,0,0,0,0,0,0,DF
409,Carlos García,0,25,2022-2023,22,es ESP,Cádiz,es La Liga,1,25,0.3,0,1,8,0,1,1,0,0,0,0,DF
410,Óscar Gil,0,"2,559",2022-2023,25,es ESP,Espanyol,es La Liga,33,"2,559",28.4,31,2,0,0,1,1,0,0,0,0,DF
411,Pedro Bigas,0,"2,020",2022-2023,31,es ESP,Elche,es La Liga,28,"2,020",22.4,25,3,4,0,0,0,0,0,0,0,DF
412,Leandro Cabrera,0,"2,669",2022-2023,31,uy URU,Espanyol,es La Liga,32,"2,669",29.7,31,1,2,0,1,1,0,0,0,0,DF
413,Pablo Durán,0,36,2022-2023,21,es ESP,Celta Vigo,es La Liga,4,36,0.4,0,4,6,0,0,0,0,0,0,0,"MF,DF"
414,José Mari,0,397,2022-2023,34,es ESP,Cádiz,es La Liga,18,397,4.4,2,16,10,0,0,0,0,0,0,0,MF
415,Andoni Gorosabel,0,"1,708",2022-2023,25,es ESP,Real Sociedad,es La Liga,27,"1,708",19,19,8,5,0,0,0,0,0,0,0,DF
416,Mario Suárez,0,12,2022-2023,35,es ESP,Rayo Vallecano,es La Liga,2,12,0.1,0,2,31,0,0,0,0,0,0,0,"MF,DF"
417,Fali,0,"1,714",2022-2023,28,es ESP,Cádiz,es La Liga,25,"1,714",19,22,3,6,0,0,0,0,0,0,0,"DF,MF"
418,Babatunde Akinsola,0,11,2022-2023,19,ng NGA,Valladolid,es La Liga,1,11,0.1,0,1,4,0,0,0,0,0,0,0,FW
419,Santiago Arzamendia,0,483,2022-2023,24,py PAR,Cádiz,es La Liga,12,483,5.4,5,7,26,0,0,0,0,0,0,0,"DF,MF"
420,Esteban Saveljich,0,1,2022-2023,31,me MNE,Rayo Vallecano,es La Liga,1,1,0,0,1,28,0,0,0,0,0,0,0,FW
421,Eduardo Camavinga,0,"2,010",2022-2023,19,fr FRA,Real Madrid,es La Liga,37,"2,010",22.3,21,16,0,0,1,1,0,0,0,0,"MF,DF"
422,Simo,0,148,2022-2023,17,es ESP,Espanyol,es La Liga,7,148,1.6,0,7,15,0,0,0,0,0,0,0,DF
423,Abner,0,607,2022-2023,22,br BRA,Betis,es La Liga,13,607,6.7,7,6,8,0,0,0,0,0,0,0,DF
