,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1201,Tim Ream,630,0,3,90.6,52.4,50,338,6,12,2020-2021,32,us USA,Fulham,eng Premier League,7,630,7,7,0,31,0,0,0,0,0,0,0,424,468,90.6,0,29,0,0,31,8479,3047,125,130,96.2,249,265,94,48,66,72.7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,338,1790,1136,7,1,0,2,1,382,0,2,1,50,1,50,12,5,9,3,0,8,11,72.7,3,8,5,3,6,18,26,1,11,10,52.4,DF
1202,Conor Coady,"3,303",1,13,87.8,58.8,75,1282,27,35,2020-2021,27,eng ENG,Wolves,eng Premier League,37,"3,303",36.7,37,0,0,1,0,1,1,0,0,0,1638,1865,87.8,3,81,1,0,67,37496,16459,390,414,94.2,892,933,95.6,343,486,70.6,13,12,0,0,1,0,0,1,1,0,0,0,0,0,1282,5200,2411,4,5,0,9,3,1494,2,8,6,75,2,25,35,23,25,10,0,19,35,54.3,16,40,32,8,27,62,134,2,40,28,58.8,DF
1203,Juan Mata,509,5,20,83,33.3,66.7,215,3,1,2020-2021,32,es ESP,Manchester Utd,eng Premier League,9,509,5.7,6,3,17,1,2,3,0,1,1,0,249,300,83,8,19,4,0,23,3432,738,148,160,92.5,67,79,84.8,16,29,55.2,20,14,4,0,2,0,0,5,3,1,0,1,0,0,215,1159,448,13,14,3,7,6,278,32,3,2,66.7,1,33.3,1,0,1,0,0,0,7,0,7,3,0,3,3,4,3,0,1,2,33.3,"FW,MF"
1204,Michy Batshuayi,728,3,23,70.1,40,64.7,146,4,5,2020-2021,26,be BEL,Crystal Palace,eng Premier League,18,728,8.1,7,11,17,2,1,3,2,0,0,0,122,174,70.1,9,8,5,0,13,1523,293,81,99,81.8,30,37,81.1,3,5,60,23,15,1,4,0,3,0,3,2,0,0,0,1,0,146,875,517,16,10,7,26,22,197,44,17,11,64.7,6,35.3,5,3,1,2,2,1,9,11.1,8,5,1,4,4,9,5,0,10,15,40,FW
1205,Moussa Sissoko,"1,585",2,17,83.7,42.1,66.7,523,23,22,2020-2021,30,fr FRA,Tottenham,eng Premier League,25,"1,585",17.6,15,10,10,0,0,0,0,0,0,0,679,811,83.7,4,42,6,1,57,10344,2252,336,383,87.7,247,282,87.6,44,69,63.8,17,16,0,1,0,0,0,2,2,0,0,0,0,0,523,2805,1404,32,30,5,18,14,593,34,27,18,66.7,9,33.3,22,16,19,3,0,8,20,40,12,11,4,7,23,45,25,0,16,22,42.1,MF
1206,Allan Saint-Maximin,"1,560",10,69,80,40,66.2,498,4,16,2020-2021,23,fr FRA,Newcastle Utd,eng Premier League,25,"1,560",17.3,19,6,0,3,4,7,3,0,0,0,355,444,80,30,28,11,4,65,5503,1314,189,220,85.9,122,152,80.3,28,37,75.7,69,44,1,17,1,6,0,10,7,0,3,0,0,0,498,4492,2479,81,66,24,55,52,518,86,145,96,66.2,49,33.8,16,9,6,9,1,4,9,44.4,5,10,0,10,4,20,2,0,6,9,40,"FW,MF"
1207,Mario Lemina,"1,703",2,27,82.9,47.9,70.3,649,30,62,2020-2021,26,ga GAB,Fulham,eng Premier League,28,"1,703",18.9,19,9,2,1,0,1,1,0,0,0,744,897,82.9,12,57,12,0,78,13301,3779,330,382,86.4,318,364,87.4,75,114,65.8,27,18,0,5,2,1,1,2,0,0,0,0,1,1,649,3733,1746,19,24,1,26,22,722,15,37,26,70.3,11,29.7,62,35,25,30,7,23,44,52.3,21,26,5,21,30,92,21,0,23,25,47.9,MF
1208,Lucas Moura,"1,411",9,39,72.6,35.9,47.1,480,18,32,2020-2021,27,br BRA,Tottenham,eng Premier League,30,"1,411",15.7,14,16,7,3,4,7,3,0,0,0,437,602,72.6,16,35,14,2,46,5967,1561,240,294,81.6,143,181,79,16,37,43.2,39,27,3,1,2,4,2,9,7,0,0,1,0,1,480,3178,1466,43,49,8,48,37,588,78,70,33,47.1,37,52.9,32,16,12,16,4,8,29,27.6,21,12,0,12,18,50,10,0,23,41,35.9,"FW,MF"
1209,Ciaran Clark,"1,891",1,7,81.3,63.3,50,520,29,24,2020-2021,30,ie IRL,Newcastle Utd,eng Premier League,22,"1,891",21,21,1,8,1,0,1,1,0,0,0,657,808,81.3,2,36,3,0,35,11712,4531,269,307,87.6,316,365,86.6,57,107,53.3,7,6,0,1,0,0,0,1,1,0,0,0,0,0,520,2406,1090,9,4,0,11,1,568,4,8,4,50,4,50,24,14,15,6,3,6,13,46.2,7,27,20,7,29,53,104,1,69,40,63.3,DF
