,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,
Rk,Player,Gls,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos
1,Lionel Messi,34,"3,000",2017-2018,30,ar ARG,Barcelona,es La Liga,36,"3,000",33.3,32,4,0,34,12,46,32,2,4,2,FW
2,Cristiano Ronaldo,26,"2,285",2017-2018,32,pt POR,Real Madrid,es La Liga,27,"2,285",25.4,27,0,0,26,5,31,23,3,4,1,FW
3,Luis Suárez,25,"2,899",2017-2018,30,uy URU,Barcelona,es La Liga,33,"2,899",32.2,32,1,2,25,12,37,24,1,1,0,FW
4,Iago Aspas,22,"2,936",2017-2018,29,es ESP,Celta Vigo,es La Liga,34,"2,936",32.6,33,1,0,22,5,27,20,2,3,1,FW
5,Cristhian Stuani,21,"2,710",2017-2018,30,uy URU,Girona,es La Liga,33,"2,710",30.1,32,1,3,21,0,21,16,5,5,0,FW
6,Antoine Griezmann,19,"2,519",2017-2018,26,fr FRA,Atlético Madrid,es La Liga,32,"2,519",28,30,2,1,19,9,28,17,2,2,0,"FW,MF"
7,Maxi Gómez,17,"3,068",2017-2018,20,uy URU,Celta Vigo,es La Liga,36,"3,068",34.1,35,1,0,17,4,21,17,0,0,0,FW
8,Rodrigo,16,"2,684",2017-2018,26,es ESP,Valencia,es La Liga,37,"2,684",29.8,31,6,0,16,4,20,15,1,1,0,FW
9,Gerard Moreno,16,"3,412",2017-2018,25,es ESP,Espanyol,es La Liga,38,"3,412",37.9,38,0,0,16,1,17,15,1,2,1,FW
10,Gareth Bale,16,"1,799",2017-2018,28,wls WAL,Real Madrid,es La Liga,26,"1,799",20,20,6,1,16,2,18,15,1,1,0,"FW,MF"
11,Carlos Bacca,15,"2,497",2017-2018,30,co COL,Villarreal,es La Liga,35,"2,497",27.7,30,5,0,15,6,21,14,1,1,0,FW
12,Willian José,15,"2,770",2017-2018,25,br BRA,Real Sociedad,es La Liga,34,"2,770",30.8,32,2,0,15,4,19,12,3,4,1,FW
13,Ángel Rodríguez,13,"2,293",2017-2018,30,es ESP,Getafe,es La Liga,33,"2,293",25.5,26,7,3,13,2,15,13,0,1,1,FW
14,Simone Zaza,13,"2,077",2017-2018,26,it ITA,Valencia,es La Liga,33,"2,077",23.1,23,10,2,13,1,14,13,0,0,0,FW
15,Santi Mina,12,"1,554",2017-2018,21,es ESP,Valencia,es La Liga,32,"1,554",17.3,17,15,4,12,2,14,11,1,1,0,FW
16,Mikel Oyarzabal,12,"2,772",2017-2018,20,es ESP,Real Sociedad,es La Liga,35,"2,772",30.8,31,4,0,12,5,17,12,0,0,0,"FW,MF"
17,Sergio León,11,"1,978",2017-2018,28,es ESP,Betis,es La Liga,31,"1,978",22,23,8,6,11,1,12,11,0,1,1,FW
18,Portu,11,"2,997",2017-2018,25,es ESP,Girona,es La Liga,37,"2,997",33.3,35,2,0,11,5,16,11,0,0,0,MF
19,José Luis Morales,10,"3,058",2017-2018,30,es ESP,Levante,es La Liga,35,"3,058",34,35,0,0,10,8,18,7,3,3,0,"MF,FW"
20,Munir El Haddadi,10,"2,444",2017-2018,21,ma MAR,Alavés,es La Liga,33,"2,444",27.2,28,5,1,10,6,16,10,0,0,0,FW
21,Raúl García,10,"2,627",2017-2018,31,es ESP,Athletic Club,es La Liga,34,"2,627",29.2,30,4,0,10,1,11,7,3,3,0,"MF,FW"
22,Cédric Bakambu,9,"1,263",2017-2018,26,cd COD,Villarreal,es La Liga,15,"1,263",14,15,0,0,9,0,9,8,1,1,0,FW
23,Aritz Aduriz,9,"2,152",2017-2018,36,es ESP,Athletic Club,es La Liga,33,"2,152",23.9,21,12,2,9,1,10,6,3,5,2,FW
24,Jonathan Calleri,9,"3,109",2017-2018,23,ar ARG,Las Palmas,es La Liga,37,"3,109",34.5,34,3,0,9,3,12,4,5,5,0,FW
25,Adrián López,9,"2,345",2017-2018,29,es ESP,La Coruña,es La Liga,30,"2,345",26.1,26,4,0,9,6,15,9,0,0,0,"FW,MF"
26,Wissam Ben Yedder,9,"1,700",2017-2018,26,fr FRA,Sevilla,es La Liga,25,"1,700",18.9,18,7,12,9,3,12,9,0,0,0,FW
27,Paulinho,9,"1,945",2017-2018,29,br BRA,Barcelona,es La Liga,34,"1,945",21.6,21,13,2,9,2,11,9,0,0,0,MF
28,Enis Bardhi,9,"1,580",2017-2018,22,mk MKD,Levante,es La Liga,26,"1,580",17.6,16,10,8,9,1,10,9,0,0,0,MF
29,Ángel Correa,8,"2,253",2017-2018,22,ar ARG,Atlético Madrid,es La Liga,37,"2,253",25,27,10,0,8,4,12,8,0,0,0,"MF,FW"
