,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,
Rk,Player,Gls,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos
1,Robert Lewandowski,23,"2,847",2022-2023,33,pl POL,Barcelona,es La Liga,34,"2,847",31.6,33,1,0,23,7,30,23,0,1,1,FW
2,Karim Benzema,19,"2,038",2022-2023,34,fr FRA,Real Madrid,es La Liga,24,"2,038",22.6,24,0,0,19,3,22,12,7,8,1,FW
3,Joselu,16,"2,990",2022-2023,32,es ESP,Espanyol,es La Liga,34,"2,990",33.2,33,1,1,16,2,18,11,5,5,0,FW
4,Vedat Muriqi,15,"2,937",2022-2023,28,xk KVX,Mallorca,es La Liga,35,"2,937",32.6,34,1,0,15,3,18,11,4,5,1,FW
5,Borja Iglesias,15,"2,365",2022-2023,29,es ESP,Betis,es La Liga,35,"2,365",26.3,29,6,0,15,3,18,10,5,6,1,FW
6,Antoine Griezmann,15,"2,859",2022-2023,31,fr FRA,Atlético Madrid,es La Liga,38,"2,859",31.8,31,7,0,15,16,31,15,0,0,0,"FW,MF"
7,Enes Ünal,14,"2,970",2022-2023,25,tr TUR,Getafe,es La Liga,35,"2,970",33,35,0,0,14,3,17,9,5,6,1,FW
8,Álvaro Morata,13,"1,900",2022-2023,29,es ESP,Atlético Madrid,es La Liga,36,"1,900",21.1,23,13,1,13,2,15,13,0,0,0,FW
9,Valentín Castellanos,13,"2,597",2022-2023,23,ar ARG,Girona,es La Liga,35,"2,597",28.9,33,2,0,13,0,13,12,1,1,0,FW
10,Iago Aspas,12,"2,868",2022-2023,34,es ESP,Celta Vigo,es La Liga,37,"2,868",31.9,31,6,0,12,3,15,10,2,3,1,FW
11,Nicolas Jackson,12,"1,598",2022-2023,21,sn SEN,Villarreal,es La Liga,26,"1,598",17.8,16,10,3,12,4,16,12,0,0,0,FW
12,Alexander Sørloth,12,"2,386",2022-2023,26,no NOR,Real Sociedad,es La Liga,34,"2,386",26.5,28,6,0,12,3,15,12,0,0,0,FW
13,Gabriel Veiga,11,"2,294",2022-2023,20,es ESP,Celta Vigo,es La Liga,36,"2,294",25.5,28,8,0,11,4,15,11,0,0,0,MF
14,Iñaki Williams,10,"2,836",2022-2023,28,gh GHA,Athletic Club,es La Liga,36,"2,836",31.5,34,2,0,10,3,13,9,1,2,1,FW
15,Vinicius Júnior,10,"2,823",2022-2023,22,br BRA,Real Madrid,es La Liga,33,"2,823",31.4,32,1,0,10,9,19,10,0,0,0,FW
16,Oihan Sancet,10,"2,532",2022-2023,22,es ESP,Athletic Club,es La Liga,36,"2,532",28.1,32,4,0,10,2,12,8,2,2,0,MF
17,Martin Braithwaite,10,"2,456",2022-2023,31,dk DEN,Espanyol,es La Liga,31,"2,456",27.3,29,2,0,10,2,12,10,0,0,0,"FW,MF"
18,Ángel Correa,9,"1,455",2022-2023,27,ar ARG,Atlético Madrid,es La Liga,35,"1,455",16.2,13,22,1,9,1,10,9,0,0,0,"FW,MF"
19,Takefusa Kubo,9,"2,439",2022-2023,21,jp JPN,Real Sociedad,es La Liga,35,"2,439",27.1,29,6,2,9,4,13,9,0,0,0,"FW,MF"
20,Cristhian Stuani,9,"1,090",2022-2023,35,uy URU,Girona,es La Liga,32,"1,090",12.1,8,24,1,9,0,9,4,5,6,1,FW
21,Marco Asensio,9,"1,442",2022-2023,26,es ESP,Real Madrid,es La Liga,31,"1,442",16,15,16,6,9,6,15,9,0,1,1,"FW,MF"
22,Isaac Palazón Camacho,9,"2,965",2022-2023,27,es ESP,Rayo Vallecano,es La Liga,37,"2,965",32.9,36,1,0,9,5,14,8,1,3,2,"FW,MF"
23,Rodrygo,9,"2,379",2022-2023,21,br BRA,Real Madrid,es La Liga,34,"2,379",26.4,25,9,0,9,8,17,8,1,1,0,"FW,MF"
24,Youssef En-Nesyri,8,"1,661",2022-2023,25,ma MAR,Sevilla,es La Liga,31,"1,661",18.5,17,14,6,8,1,9,8,0,0,0,FW
25,Ezequiel Ávila,8,"1,709",2022-2023,28,ar ARG,Osasuna,es La Liga,29,"1,709",19,23,6,3,8,2,10,6,2,3,1,"FW,MF"
26,Borja Mayoral,8,"2,759",2022-2023,25,es ESP,Getafe,es La Liga,35,"2,759",30.7,33,2,3,8,2,10,8,0,2,2,FW
27,Ante Budimir,8,"1,798",2022-2023,31,hr CRO,Osasuna,es La Liga,31,"1,798",20,22,9,6,8,0,8,8,0,0,0,FW
28,Brais Méndez,8,"2,407",2022-2023,25,es ESP,Real Sociedad,es La Liga,34,"2,407",26.7,28,6,1,8,4,12,8,0,0,0,MF
29,Cyle Larin,8,"1,469",2022-2023,27,ca CAN,Valladolid,es La Liga,19,"1,469",16.3,16,3,1,8,3,11,6,2,2,0,FW
30,Federico Valverde,7,"2,502",2022-2023,24,uy URU,Real Madrid,es La Liga,34,"2,502",27.8,29,5,4,7,4,11,7,0,0,0,"MF,FW"
31,Ansu Fati,7,"1,393",2022-2023,19,es ESP,Barcelona,es La Liga,36,"1,393",15.5,12,24,1,7,3,10,7,0,0,0,FW
32,Javi Puado,7,"2,340",2022-2023,24,es ESP,Espanyol,es La Liga,37,"2,340",26,25,12,0,7,2,9,7,0,0,0,"FW,MF"
33,Raphinha,7,"2,072",2022-2023,25,br BRA,Barcelona,es La Liga,36,"2,072",23,25,11,1,7,7,14,7,0,0,0,FW
34,El Bilal Touré,7,"1,264",2022-2023,20,ml MLI,Almería,es La Liga,21,"1,264",14,15,6,3,7,2,9,7,0,0,0,FW
35,José Luis Morales,7,"1,211",2022-2023,35,es ESP,Villarreal,es La Liga,29,"1,211",13.5,11,18,1,7,0,7,7,0,0,0,"FW,MF"
36,Gerard Moreno,7,"1,230",2022-2023,30,es ESP,Villarreal,es La Liga,21,"1,230",13.7,14,7,1,7,3,10,6,1,2,1,FW
37,Lucas Boyé,7,"2,462",2022-2023,26,ar ARG,Elche,es La Liga,35,"2,462",27.4,29,6,0,7,2,9,7,0,1,1,FW
38,Yannick Carrasco,7,"2,317",2022-2023,28,be BEL,Atlético Madrid,es La Liga,35,"2,317",25.7,26,9,1,7,3,10,6,1,1,0,"DF,MF"
39,Sergi Darder,6,"3,320",2022-2023,28,es ESP,Espanyol,es La Liga,38,"3,320",36.9,38,0,0,6,3,9,6,0,0,0,MF
40,Sergio León,6,"1,334",2022-2023,33,es ESP,Valladolid,es La Liga,29,"1,334",14.8,14,15,7,6,1,7,5,1,2,1,FW
41,Pedri,6,"1,976",2022-2023,19,es ESP,Barcelona,es La Liga,26,"1,976",22,22,4,0,6,1,7,6,0,0,0,MF
42,Samuel Lino,6,"2,887",2022-2023,22,br BRA,Valencia,es La Liga,38,"2,887",32.1,33,5,0,6,1,7,6,0,0,0,"FW,MF"
43,Pere Milla,6,"1,843",2022-2023,29,es ESP,Elche,es La Liga,31,"1,843",20.5,21,10,0,6,1,7,3,3,3,0,"FW,MF"
44,Justin Kluivert,6,"1,447",2022-2023,23,nl NED,Valencia,es La Liga,26,"1,447",16.1,15,11,1,6,0,6,5,1,1,0,"FW,MF"
45,Alex Baena,6,"1,947",2022-2023,21,es ESP,Villarreal,es La Liga,35,"1,947",21.6,19,16,0,6,2,8,6,0,0,0,"MF,FW"
46,Gorka Guruzeta,6,"1,421",2022-2023,25,es ESP,Athletic Club,es La Liga,30,"1,421",15.8,17,13,8,6,1,7,6,0,0,0,FW
47,Lee Kang-in,6,"2,823",2022-2023,21,kr KOR,Mallorca,es La Liga,36,"2,823",31.4,33,3,0,6,6,12,6,0,0,0,"MF,FW"
48,Lázaro,6,716,2022-2023,20,br BRA,Almería,es La Liga,19,716,8,7,12,16,6,0,6,6,0,0,0,"FW,MF"
49,Sergio Camello,6,"2,401",2022-2023,21,es ESP,Rayo Vallecano,es La Liga,38,"2,401",26.7,27,11,0,6,5,11,6,0,0,0,FW
50,Érik Lamela,6,"1,844",2022-2023,30,ar ARG,Sevilla,es La Liga,32,"1,844",20.5,20,12,2,6,0,6,6,0,0,0,"FW,MF"
51,Nico Williams,6,"2,656",2022-2023,20,es ESP,Athletic Club,es La Liga,36,"2,656",29.5,32,4,0,6,4,10,6,0,0,0,FW
52,Samuel Chukwueze,6,"2,339",2022-2023,23,ng NGA,Villarreal,es La Liga,37,"2,339",26,27,10,1,6,5,11,6,0,0,0,"FW,MF"
53,Rafa Mir,6,"1,298",2022-2023,25,es ESP,Sevilla,es La Liga,26,"1,298",14.4,16,10,12,6,0,6,6,0,0,0,FW
54,Éder Militão,5,"2,703",2022-2023,24,br BRA,Real Madrid,es La Liga,33,"2,703",30,30,3,2,5,0,5,5,0,0,0,DF
55,Léo Baptistão,5,"1,726",2022-2023,29,br BRA,Almería,es La Liga,28,"1,726",19.2,24,4,1,5,1,6,5,0,0,0,"FW,MF"
56,Edinson Cavani,5,"1,449",2022-2023,35,uy URU,Valencia,es La Liga,25,"1,449",16.1,20,5,1,5,2,7,3,2,3,1,FW
57,Memphis,5,384,2022-2023,28,nl NED,2 Teams,es La Liga,10,384,4.3,5,5,8,5,0,5,5,0,0,0,FW
58,Álvaro García,5,"2,870",2022-2023,29,es ESP,Rayo Vallecano,es La Liga,35,"2,870",31.9,34,1,0,5,5,10,5,0,0,0,"FW,MF"
59,Ousmane Dembélé,5,"1,410",2022-2023,25,fr FRA,Barcelona,es La Liga,25,"1,410",15.7,16,9,0,5,7,12,5,0,0,0,FW
60,Tete Morente,4,"2,068",2022-2023,25,es ESP,Elche,es La Liga,32,"2,068",23,23,9,4,4,0,4,4,0,0,0,"MF,DF"
61,Raúl de Tomás,4,805,2022-2023,27,es ESP,Rayo Vallecano,es La Liga,19,805,8.9,9,10,2,4,0,4,3,1,2,1,FW
62,Theo Bongonda,4,"1,938",2022-2023,26,cd COD,Cádiz,es La Liga,31,"1,938",21.5,24,7,5,4,3,7,3,1,1,0,"MF,FW"
63,Samu Castillejo,4,"1,362",2022-2023,27,es ESP,Valencia,es La Liga,25,"1,362",15.1,17,8,4,4,0,4,4,0,0,0,"FW,MF"
64,Nahuel Molina,4,"2,867",2022-2023,24,ar ARG,Atlético Madrid,es La Liga,33,"2,867",31.9,33,0,1,4,2,6,4,0,0,0,DF
65,Sergi Roberto,4,"1,308",2022-2023,30,es ESP,Barcelona,es La Liga,23,"1,308",14.5,15,8,6,4,1,5,4,0,0,0,"DF,MF"
