,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1401,Victor Osimhen,"1,573",5,54,68.7,41.7,44.4,248,7,22,2020-2021,21,ng NGA,Napoli,it Serie A,24,"1,573",17.5,16,8,1,10,3,13,10,0,0,0,171,249,68.7,25,5,4,1,9,2223,267,105,135,77.8,43,71,60.6,8,16,50,54,37,0,7,4,5,1,5,3,0,0,1,1,0,248,1800,877,41,30,27,45,17,334,100,27,12,44.4,15,55.6,22,15,2,6,14,3,15,20,12,6,0,6,7,29,10,0,45,63,41.7,FW
1402,Lorenzo Tonelli,"1,782",3,5,81.3,51.9,100,555,25,33,2020-2021,30,it ITA,Sampdoria,it Serie A,23,"1,782",19.8,21,2,9,1,0,1,1,0,0,0,742,913,81.3,0,22,0,0,42,15266,4824,226,256,88.3,395,447,88.4,110,183,60.1,5,2,0,0,3,0,0,3,2,0,0,1,0,0,555,2451,1237,2,1,0,5,5,639,1,4,4,100,0,0,33,18,20,11,2,10,21,47.6,11,21,14,7,25,58,94,1,42,39,51.9,DF
1403,Rodrigo Palacio,"2,502",14,98,74.2,33.3,50.7,818,7,13,2020-2021,38,ar ARG,Bologna,it Serie A,36,"2,502",27.8,28,8,1,5,5,10,5,0,0,0,721,972,74.2,39,45,30,6,81,10312,2127,434,494,87.9,204,286,71.3,40,67,59.7,98,74,2,7,9,6,0,14,11,0,0,2,1,0,818,5150,2194,95,53,46,85,46,1031,316,69,35,50.7,34,49.3,13,6,2,3,8,1,15,6.7,14,18,0,18,7,20,29,0,33,66,33.3,FW
1404,Adrien Tameze,"2,304",4,34,79.1,47.8,75.6,639,32,39,2020-2021,26,cm CMR,Hellas Verona,it Serie A,33,"2,304",25.6,28,5,2,1,0,1,1,0,0,0,802,1014,79.1,11,71,18,2,101,14073,3190,359,426,84.3,332,394,84.3,87,127,68.5,34,26,0,2,1,2,3,4,2,0,1,0,0,1,639,3350,1719,33,19,1,39,28,721,58,45,34,75.6,11,24.4,39,25,23,15,1,11,27,40.7,16,31,8,23,32,71,46,2,44,48,47.8,MF
1405,Adolfo Gaich,768,2,13,56.7,26.4,37.5,136,2,9,2020-2021,21,ar ARG,Benevento,it Serie A,15,768,8.5,9,6,2,2,0,2,2,0,0,0,76,134,56.7,5,4,2,1,4,1121,179,42,63,66.7,19,31,61.3,9,12,75,13,7,0,1,2,2,1,2,0,0,1,0,0,1,136,626,191,10,7,7,26,13,186,54,24,9,37.5,15,62.5,9,4,1,7,1,1,13,7.7,12,4,0,4,2,11,4,0,14,39,26.4,FW
1406,Manolo Gabbiadini,870,6,26,73.2,35.3,42.9,173,3,2,2020-2021,28,it ITA,Sampdoria,it Serie A,16,870,9.7,10,6,7,3,2,5,2,1,1,0,161,220,73.2,11,19,9,0,27,2312,712,94,120,78.3,43,58,74.1,11,16,68.8,26,18,1,2,3,2,0,6,3,0,1,2,0,0,173,804,308,11,11,4,18,5,233,38,7,3,42.9,4,57.1,2,2,0,2,0,0,1,0,1,3,1,2,3,5,5,0,12,22,35.3,FW
1407,Roberto Insigne,"1,599",8,77,79.5,20.8,65.5,496,7,16,2020-2021,26,it ITA,Benevento,it Serie A,30,"1,599",17.8,17,13,7,2,4,6,2,0,0,0,497,625,79.5,40,28,25,4,47,8037,1900,268,305,87.9,149,183,81.4,58,91,63.7,77,52,13,4,7,1,0,8,6,0,1,1,0,0,496,3476,1353,43,31,16,37,14,561,117,29,19,65.5,10,34.5,16,10,8,3,5,7,27,25.9,20,10,0,10,7,23,9,0,5,19,20.8,"MF,FW"
1408,Andrea Conti,837,0,15,81.2,43.8,57.1,269,17,22,2020-2021,26,it ITA,2 Teams,it Serie A,14,837,9.3,9,5,13,0,0,0,0,0,0,0,394,485,81.2,8,30,11,6,45,6918,2658,167,187,89.3,189,229,82.5,31,49,63.3,15,14,0,0,1,0,0,0,0,0,0,0,0,0,269,1345,888,23,13,0,8,4,332,21,7,4,57.1,3,42.9,22,11,17,4,1,13,27,48.1,14,13,4,9,17,39,23,0,7,9,43.8,DF
1409,Jacopo Petriccione,958,0,24,84,20,40,316,8,14,2020-2021,25,it ITA,Crotone,it Serie A,20,958,10.6,11,9,14,0,0,0,0,0,0,0,425,506,84,8,38,6,1,51,7784,2516,168,186,90.3,195,221,88.2,51,74,68.9,24,20,2,0,1,1,0,0,0,0,0,0,0,0,316,1403,724,8,4,0,4,4,390,6,5,2,40,3,60,14,8,6,7,1,9,24,37.5,15,11,2,9,8,22,11,0,2,8,20,MF
