,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1601,Alex Sandro,"2,385",7,78,85.1,56.4,66.1,1462,47,44,2019-2020,28,br BRA,Juventus,it Serie A,29,"2,385",26.5,27,2,3,1,3,4,1,0,0,0,1687,1983,85.1,33,110,40,13,151,27574,8739,820,887,92.4,697,790,88.2,126,207,60.9,78,64,4,3,1,6,0,7,6,0,0,1,0,0,1462,7224,3972,91,88,10,23,16,1538,83,56,37,66.1,19,33.9,44,26,23,14,7,12,33,36.4,21,26,6,20,47,91,46,3,31,24,56.4,DF
1602,Sandro Tonali,"3,014",11,135,70.9,38.5,78,876,41,39,2019-2020,19,it ITA,Brescia,it Serie A,35,"3,014",33.5,34,1,0,1,7,8,1,0,0,0,1110,1565,70.9,68,143,25,8,181,22165,8343,424,507,83.6,431,556,77.5,217,396,54.8,135,59,58,5,3,9,1,11,3,7,0,0,0,1,876,5159,2805,45,38,6,50,32,998,38,50,39,78,11,22,39,25,16,20,3,16,55,29.1,39,36,14,22,41,80,42,0,10,16,38.5,MF
1603,Borja Valero,931,2,24,89.1,42.9,58.3,399,8,18,2019-2020,34,es ESP,Inter,it Serie A,19,931,10.3,9,10,18,2,0,2,2,0,0,0,480,539,89.1,10,44,11,0,68,7705,1935,246,266,92.5,176,193,91.2,35,43,81.4,24,23,0,1,0,0,0,2,1,0,1,0,0,0,399,2257,1180,31,24,6,10,7,452,35,12,7,58.3,5,41.7,18,7,9,3,6,6,24,25,18,12,3,9,8,26,9,0,6,8,42.9,MF
1604,Alberto Cerri,664,1,18,62.3,60.5,84.6,169,2,5,2019-2020,23,it ITA,2 Teams,it Serie A,19,664,7.4,6,13,11,2,0,2,2,0,0,0,147,236,62.3,11,12,6,0,25,2182,370,85,124,68.5,46,71,64.8,10,17,58.8,18,16,0,1,1,0,0,1,1,0,0,0,0,0,169,820,288,14,6,5,14,11,267,61,13,11,84.6,2,15.4,5,2,1,2,2,3,9,33.3,6,2,0,2,2,7,7,0,49,32,60.5,FW
1605,Rogério,"1,015",4,32,84,37.5,63.2,483,9,22,2019-2020,21,br BRA,Sassuolo,it Serie A,15,"1,015",11.3,12,3,7,1,1,2,1,0,0,0,588,700,84,12,59,11,6,63,9063,2806,339,367,92.4,200,231,86.6,38,63,60.3,32,21,3,0,5,2,1,4,2,0,0,2,0,0,483,2956,1706,44,39,4,10,4,552,55,19,12,63.2,7,36.8,22,14,12,8,2,16,23,69.6,7,13,3,10,9,31,34,0,9,15,37.5,DF
1606,Mert Müldür,"1,273",5,33,84.3,50,48.6,519,22,47,2019-2020,20,tr TUR,Sassuolo,it Serie A,24,"1,273",14.1,13,11,14,2,1,3,2,0,0,0,679,805,84.3,10,51,8,2,57,10136,3175,407,438,92.9,227,270,84.1,34,58,58.6,33,20,1,6,3,3,0,5,3,0,0,1,1,0,519,2919,1798,53,31,16,18,10,626,67,35,17,48.6,18,51.4,47,27,33,8,6,27,42,64.3,15,10,0,10,22,69,42,0,11,11,50,DF
1607,Samu Castillejo,"1,209",7,68,73.3,31.1,52.6,476,24,24,2019-2020,24,es ESP,Milan,it Serie A,22,"1,209",13.4,16,6,6,2,3,5,2,0,0,0,409,558,73.3,43,28,23,6,45,6257,1744,238,273,87.2,121,156,77.6,37,87,42.5,68,44,12,6,2,3,1,7,4,1,0,1,1,0,476,3111,1521,48,43,16,32,20,491,116,38,20,52.6,18,47.4,24,15,10,11,3,9,42,21.4,33,17,2,15,24,48,5,0,14,31,31.1,"FW,MF"
1608,Jasmin Kurtić,"3,073",3,102,79.2,49,61,1147,25,52,2019-2020,30,si SVN,2 Teams,it Serie A,36,"3,073",34.1,34,2,0,4,1,5,4,0,0,0,1180,1489,79.2,50,108,48,19,147,20648,5655,593,666,89,409,507,80.7,145,230,63,102,64,19,4,8,7,0,3,3,0,0,0,0,0,1147,7342,3839,104,85,9,36,25,1297,152,41,25,61,16,39,52,30,27,18,7,19,62,30.6,43,33,7,26,25,77,47,3,49,51,49,MF
1609,Giuseppe Pezzella,"1,029",1,22,73.2,47.6,54.2,356,7,20,2019-2020,21,it ITA,2 Teams,it Serie A,23,"1,029",11.4,9,14,14,0,0,0,0,0,0,0,390,533,73.2,4,30,9,4,31,6594,2082,203,230,88.3,137,194,70.6,47,85,55.3,22,17,3,0,0,2,0,1,0,1,0,0,0,0,356,2360,1307,36,30,1,12,8,366,49,24,13,54.2,11,45.8,20,12,17,3,0,11,19,57.9,8,13,9,4,7,27,34,0,10,11,47.6,DF
1610,Diego Farias,824,4,36,80,25,70.4,323,4,9,2019-2020,29,br BRA,Lecce,it Serie A,18,824,9.2,7,11,1,2,0,2,2,0,0,0,288,360,80,12,19,15,5,40,4754,1033,147,169,87,112,133,84.2,23,39,59,36,26,3,3,1,3,0,4,1,0,1,0,2,0,323,2098,1177,48,22,26,20,16,348,77,27,19,70.4,8,29.6,9,6,3,5,1,5,18,27.8,13,7,0,7,4,13,4,0,2,6,25,"MF,FW"
1611,Luiz Felipe,"2,024",6,17,88.3,43.1,75,836,41,42,2019-2020,22,it ITA,Lazio,it Serie A,26,"2,024",22.5,24,2,5,1,1,2,1,0,0,0,1031,1168,88.3,4,69,7,2,78,18901,6636,395,428,92.3,507,547,92.7,109,151,72.2,17,15,0,1,0,0,1,6,5,0,1,0,0,0,836,6110,3285,20,13,1,11,5,963,18,8,6,75,2,25,42,24,24,15,3,19,32,59.4,13,39,30,9,41,83,69,2,22,29,43.1,DF
1612,Rodrigo De Paul,"2,822",17,165,73.9,10,67.4,1459,29,61,2019-2020,25,ar ARG,Udinese,it Serie A,34,"2,822",31.4,33,1,0,7,6,13,7,0,0,0,1357,1837,73.9,77,142,63,20,227,25313,7196,589,685,86,505,653,77.3,208,367,56.7,165,104,33,9,7,6,6,17,6,4,2,2,1,2,1459,10499,6029,176,132,32,70,48,1562,183,92,62,67.4,30,32.6,61,31,31,26,4,27,65,41.5,38,38,3,35,29,90,8,1,1,9,10,MF
1613,Dimitri Bisoli,"2,152",3,47,62.9,43.1,69,528,25,64,2019-2020,25,it ITA,Brescia,it Serie A,25,"2,152",23.9,24,1,0,1,1,2,1,0,0,0,494,785,62.9,20,55,28,11,93,7145,3352,281,347,81,150,246,61,27,75,36,47,35,0,4,3,4,1,3,2,0,0,0,1,0,528,2483,1250,30,27,5,40,34,623,127,29,20,69,9,31,64,35,34,20,10,30,49,61.2,19,41,7,34,25,89,49,0,28,37,43.1,MF
