,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1601,Nathaniel Chalobah,930,1,18,70.5,57.6,55.6,227,18,30,2019-2020,24,eng ENG,Watford,eng Premier League,22,930,10.3,10,12,13,0,1,1,0,0,0,0,261,370,70.5,9,23,4,0,35,3909,1172,142,181,78.5,87,106,82.1,18,44,40.9,18,14,2,0,0,0,2,1,1,0,0,0,0,0,227,942,306,4,9,1,16,10,250,22,9,5,55.6,4,44.4,30,11,13,13,4,12,27,44.4,15,10,4,6,18,48,20,0,19,14,57.6,MF
1602,Oliver Norwood,"3,090",6,83,77,60.3,100,1023,47,66,2019-2020,28,nir NIR,Sheffield Utd,eng Premier League,38,"3,090",34.3,37,1,0,1,1,2,0,1,1,0,1710,2222,77,48,231,29,12,258,36359,11716,591,666,88.7,744,864,86.1,346,605,57.2,83,48,29,0,4,1,1,6,4,2,0,0,0,0,1023,3408,1387,7,14,0,20,4,1487,26,9,9,100,0,0,66,37,35,24,7,28,97,28.9,69,34,12,22,47,113,40,1,44,29,60.3,MF
1603,Joshua King,"2,011",8,61,70.4,47.2,48.6,555,8,16,2019-2020,27,no NOR,Bournemouth,eng Premier League,26,"2,011",22.3,24,2,0,6,4,10,3,3,3,0,369,524,70.4,30,21,18,4,46,4923,1128,228,281,81.1,95,141,67.4,17,26,65.4,61,45,0,8,2,5,1,8,5,0,2,0,1,0,555,4169,1749,60,47,23,77,54,585,151,107,52,48.6,55,51.4,16,6,4,8,4,4,16,25,12,20,3,17,8,24,9,0,59,66,47.2,"FW,MF"
1604,Divock Origi,717,3,20,66.2,40.9,46.2,229,4,12,2019-2020,24,be BEL,Liverpool,eng Premier League,28,717,8,7,21,9,4,1,5,4,0,0,0,143,216,66.2,8,3,8,2,12,1986,254,85,114,74.6,36,52,69.2,11,25,44,20,9,0,6,2,3,0,3,0,0,1,1,1,0,229,1526,766,37,18,10,28,12,259,90,26,12,46.2,14,53.8,12,9,2,5,5,4,9,44.4,5,2,0,2,4,16,5,0,18,26,40.9,FW
1605,Demarai Gray,622,6,34,81,20,40,312,5,12,2019-2020,23,jm JAM,Leicester City,eng Premier League,21,622,6.9,3,18,11,2,3,5,2,0,1,1,265,327,81,16,10,13,5,21,3789,759,177,187,94.7,55,79,69.6,21,29,72.4,34,29,1,1,2,1,0,6,5,0,0,0,1,0,312,2361,1048,40,27,17,20,19,324,78,25,10,40,15,60,12,6,6,6,0,6,12,50,6,7,0,7,5,17,4,0,2,8,20,"MF,FW"
1606,Ben Davies,"1,431",0,17,74.9,68.2,50,600,22,28,2019-2020,26,wls WAL,Tottenham,eng Premier League,18,"1,431",15.9,16,2,6,0,0,0,0,0,0,0,733,978,74.9,9,52,10,7,53,11305,4563,392,445,88.1,278,380,73.2,42,91,46.2,17,16,0,0,1,0,0,0,0,0,0,0,0,0,600,2447,1399,32,20,2,7,9,643,54,18,9,50,9,50,28,15,13,11,4,7,21,33.3,14,28,12,16,22,50,47,0,45,21,68.2,DF
1607,Rúben Neves,"3,056",3,76,79,50.9,84.6,1232,56,62,2019-2020,22,pt POR,Wolves,eng Premier League,38,"3,056",34,35,3,0,2,2,4,2,0,0,0,1635,2070,79,29,194,23,6,216,34616,9325,523,618,84.6,752,878,85.6,324,487,66.5,76,61,1,3,6,1,4,3,2,0,0,1,0,0,1232,4825,2393,19,31,0,17,10,1559,23,26,22,84.6,4,15.4,62,33,27,32,3,34,86,39.5,52,38,9,29,56,118,34,1,28,27,50.9,MF
1608,Jamaal Lascelles,"2,076",0,10,79.4,59.8,66.7,530,28,14,2019-2020,25,eng ENG,Newcastle Utd,eng Premier League,24,"2,076",23.1,24,0,0,1,0,1,1,0,0,0,676,851,79.4,2,24,1,0,21,13098,3863,223,270,82.6,358,421,85,79,119,66.4,10,7,0,0,1,2,0,0,0,0,0,0,0,0,530,2311,838,3,5,0,6,4,553,1,6,4,66.7,2,33.3,14,3,10,4,0,4,9,44.4,5,23,20,3,28,42,116,1,73,49,59.8,DF
1609,Jamie Vardy,"3,033",12,70,67.6,36,48.9,390,2,15,2019-2020,32,eng ENG,Leicester City,eng Premier League,35,"3,033",33.7,34,1,0,23,5,28,19,4,5,1,323,478,67.6,31,12,24,4,44,4236,742,198,255,77.6,83,123,67.5,14,29,48.3,70,47,0,12,6,4,1,12,7,0,3,0,2,0,390,2358,1198,61,21,38,51,16,487,200,47,23,48.9,24,51.1,15,12,0,9,6,2,4,50,2,22,4,18,2,17,22,0,54,96,36,FW
