,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1801,Nahitan Nández,"2,898",7,96,74.4,27.5,52,1002,25,58,2019-2020,23,uy URU,Cagliari,it Serie A,35,"2,898",32.2,32,3,0,2,3,5,2,0,0,0,1003,1349,74.4,36,98,44,18,134,16705,5277,514,589,87.3,362,473,76.5,97,184,52.7,96,76,3,9,2,5,1,7,6,0,1,0,0,0,1002,6204,3112,83,72,15,44,40,1135,189,75,39,52,36,48,58,38,37,17,4,25,69,36.2,44,30,1,29,25,83,26,0,25,66,27.5,"MF,DF"
1802,Francesco Cassata,"1,458",3,32,76.6,46.2,60,481,11,20,2019-2020,22,it ITA,Genoa,it Serie A,24,"1,458",16.2,18,6,6,2,0,2,2,0,0,0,497,649,76.6,9,33,19,3,57,7640,2218,248,285,87,169,211,80.1,40,75,53.3,32,29,0,0,0,3,0,3,3,0,0,0,0,0,481,2621,1475,39,31,3,26,21,554,45,35,21,60,14,40,20,10,12,5,3,9,30,30,21,12,2,10,11,31,11,0,12,14,46.2,MF
1803,Matteo Darmian,"2,685",5,42,78.7,52.1,43.5,928,25,81,2019-2020,29,it ITA,Parma,it Serie A,33,"2,685",29.8,30,3,0,1,1,2,1,0,0,0,1199,1523,78.7,12,88,10,4,130,20701,8358,580,638,90.9,475,583,81.5,122,219,55.7,42,30,7,1,1,3,0,5,5,0,0,0,0,0,928,3901,2253,36,30,6,22,13,1007,95,23,10,43.5,13,56.5,81,42,48,30,3,40,83,48.2,43,38,16,22,25,106,78,1,38,35,52.1,DF
1804,Federico Dimarco,548,4,19,72.8,33.3,75,308,5,12,2019-2020,21,it ITA,2 Teams,it Serie A,16,548,6.1,5,11,23,0,3,3,0,0,0,0,319,438,72.8,12,41,7,1,44,5425,2095,167,187,89.3,108,145,74.5,37,85,43.5,19,12,6,0,1,0,0,4,3,1,0,0,0,0,308,1368,781,19,26,1,7,2,321,38,4,3,75,1,25,12,5,4,5,3,6,10,60,4,3,2,1,5,17,12,0,3,6,33.3,DF
1805,Christian Eriksen,703,7,41,74.6,42.9,75,275,0,11,2019-2020,27,dk DEN,Inter,it Serie A,17,703,7.8,8,9,0,1,2,3,1,0,0,0,353,473,74.6,22,42,8,2,52,5762,1646,184,200,92,118,154,76.6,36,80,45,41,28,9,1,2,1,0,7,6,0,0,1,0,0,275,1335,700,19,11,2,12,5,369,45,8,6,75,2,25,11,6,2,8,1,5,20,25,15,3,0,3,0,11,0,0,3,4,42.9,MF
1806,Lorenzo Venuti,858,3,21,80.4,47.1,66.7,306,11,20,2019-2020,24,it ITA,Fiorentina,it Serie A,16,858,9.5,10,6,22,0,1,1,0,0,0,0,393,489,80.4,8,39,12,6,40,6446,2290,195,215,90.7,166,207,80.2,25,42,59.5,21,19,0,1,0,1,0,3,1,0,1,0,1,0,306,1726,1139,28,22,3,4,4,360,32,9,6,66.7,3,33.3,20,10,12,6,2,13,19,68.4,6,5,1,4,11,31,15,0,8,9,47.1,"DF,MF"
1807,Remo Freuler,"2,337",9,73,87.1,35.9,53.8,1214,28,51,2019-2020,27,ch SUI,Atalanta,it Serie A,31,"2,337",26,28,3,7,2,2,4,2,0,0,0,1449,1664,87.1,26,147,30,3,172,21945,6079,775,842,92,549,614,89.4,66,108,61.1,73,61,3,2,3,2,2,9,5,0,1,2,0,1,1214,6279,3258,54,48,5,33,19,1332,60,26,14,53.8,11,42.3,51,30,18,25,8,22,63,34.9,41,41,6,35,28,79,26,0,14,25,35.9,MF
1808,Nicolò Zaniolo,"1,503",11,62,77.8,24.1,62.9,473,5,15,2019-2020,20,it ITA,Roma,it Serie A,26,"1,503",16.7,16,10,0,6,2,8,6,0,0,0,343,441,77.8,24,28,15,3,46,6018,1187,176,211,83.4,120,147,81.6,41,53,77.4,62,37,1,14,4,5,1,11,5,0,4,0,2,0,473,3963,1774,65,41,21,51,47,536,108,89,56,62.9,33,37.1,15,11,4,7,4,3,24,12.5,21,14,0,14,5,20,5,0,7,22,24.1,"FW,MF"
1809,Sebastiano Luperto,529,0,8,89,18.8,0,312,6,12,2019-2020,22,it ITA,Napoli,it Serie A,9,529,5.9,5,4,29,0,0,0,0,0,0,0,340,382,89,2,24,2,1,31,5636,2031,143,149,96,171,189,90.5,15,28,53.6,8,8,0,0,0,0,0,0,0,0,0,0,0,0,312,1954,1319,13,4,0,0,2,312,3,1,0,0,1,100,12,9,7,3,2,6,9,66.7,3,5,3,2,6,18,16,0,3,13,18.8,DF
1810,Lucas Paquetá,"1,103",3,48,77.5,38.2,59.5,541,8,33,2019-2020,21,br BRA,Milan,it Serie A,24,"1,103",12.3,12,12,9,0,1,1,0,0,0,0,438,565,77.5,18,53,15,2,76,6925,2054,233,274,85,159,195,81.5,31,48,64.6,48,34,1,7,4,0,2,3,2,1,0,0,0,0,541,2607,1260,28,25,2,34,35,537,74,42,25,59.5,17,40.5,33,19,12,17,4,14,37,37.8,23,17,2,15,8,41,9,0,21,34,38.2,"MF,FW"
1811,Roberto Soriano,"2,469",13,116,84.7,31.9,70.7,986,17,43,2019-2020,28,it ITA,Bologna,it Serie A,29,"2,469",27.4,29,0,0,5,5,10,5,0,0,0,1010,1192,84.7,54,114,39,4,176,14414,4269,610,663,92,313,368,85.1,45,67,67.2,116,99,0,4,3,8,2,13,9,0,1,0,3,0,986,6538,3429,97,93,10,32,28,1130,124,41,29,70.7,12,29.3,43,25,15,21,7,10,46,21.7,36,19,0,19,17,60,23,1,23,49,31.9,MF
1812,Cristiano Biraghi,"1,576",11,58,70.2,22.2,45.5,503,13,22,2019-2020,26,it ITA,2 Teams,it Serie A,26,"1,576",17.5,18,8,11,2,6,8,2,0,0,0,633,902,70.2,31,26,30,20,45,10457,3979,347,380,91.3,207,305,67.9,64,143,44.8,58,36,15,3,0,4,0,11,9,1,1,0,0,0,503,2390,1207,46,24,4,19,3,628,129,22,10,45.5,12,54.5,22,6,10,8,4,10,24,41.7,14,21,7,14,13,35,41,0,4,14,22.2,"DF,MF"
1813,Nikolas Špalek,"1,579",2,34,65.9,7.7,17.9,368,6,24,2019-2020,22,sk SVK,Brescia,it Serie A,25,"1,579",17.5,20,5,11,2,1,3,2,0,0,0,288,437,65.9,18,25,8,1,33,3517,959,192,235,81.7,53,101,52.5,11,33,33.3,34,25,2,0,2,5,0,2,1,0,0,0,1,0,368,2281,1117,33,23,9,33,26,399,93,28,5,17.9,23,82.1,24,10,6,11,7,7,31,22.6,24,15,1,14,6,30,10,0,2,24,7.7,"MF,FW"
1814,Emiliano Rigoni,431,2,26,66.1,35.7,47.6,138,3,5,2019-2020,26,ar ARG,Sampdoria,it Serie A,8,431,4.8,4,4,10,0,1,1,0,0,0,0,127,192,66.1,15,12,9,5,18,2082,708,68,84,81,37,53,69.8,18,38,47.4,26,13,8,2,2,1,0,2,1,1,0,0,0,0,138,1002,510,17,11,5,14,9,175,51,21,10,47.6,11,52.4,5,4,2,1,2,3,10,30,7,5,1,4,3,8,1,0,5,9,35.7,"MF,FW"
1815,Cristian Romero,"2,577",4,31,87.8,68.3,70.8,1113,75,52,2019-2020,21,ar ARG,Genoa,it Serie A,30,"2,577",28.6,30,0,1,1,1,2,1,0,0,0,1380,1572,87.8,10,43,4,1,54,26101,9364,458,492,93.1,760,826,92,139,202,68.8,31,24,0,2,1,3,1,4,2,0,0,1,1,0,1113,5847,3219,19,14,1,10,4,1179,11,24,17,70.8,7,29.2,52,35,36,12,4,12,41,29.3,29,59,33,26,75,127,116,2,71,33,68.3,DF
1816,Marash Kumbulla,"1,950",2,12,83.8,64.4,50,617,50,40,2019-2020,19,al ALB,Hellas Verona,it Serie A,25,"1,950",21.7,25,0,3,1,0,1,1,0,0,0,773,922,83.8,2,39,0,0,58,13977,5740,301,340,88.5,383,423,90.5,64,103,62.1,12,10,0,0,1,1,0,2,0,0,0,1,1,0,617,2501,1292,10,11,1,11,4,699,14,4,2,50,2,50,40,24,21,17,2,19,36,52.8,17,33,24,9,50,90,86,3,65,36,64.4,DF
