,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1801,Michael Keane,"2,559",3,18,82.5,59.4,100,992,44,31,2019-2020,26,eng ENG,Everton,eng Premier League,31,"2,559",28.4,28,3,6,2,0,2,2,0,0,0,1203,1458,82.5,6,61,3,0,84,24542,8769,317,366,86.6,716,792,90.4,149,244,61.1,18,16,0,0,2,0,0,3,2,0,0,1,0,0,992,4975,2648,9,1,1,7,4,1078,3,1,1,100,0,0,31,16,18,12,1,14,24,58.3,10,35,28,7,44,75,152,0,129,88,59.4,DF
1802,Reiss Nelson,631,1,20,80.2,0,53.1,210,3,11,2019-2020,19,eng ENG,Arsenal,eng Premier League,17,631,7,7,10,10,1,0,1,1,0,0,0,186,232,80.2,9,9,8,1,20,2759,727,107,118,90.7,55,65,84.6,14,24,58.3,20,11,4,2,3,0,0,1,0,0,0,1,0,0,210,1479,739,30,16,10,15,13,234,58,32,17,53.1,15,46.9,11,8,5,4,2,7,17,41.2,10,13,2,11,3,14,3,0,0,5,0,FW
1803,Sadio Mané,"2,747",16,114,78.9,35.3,62.7,1195,13,44,2019-2020,27,sn SEN,Liverpool,eng Premier League,35,"2,747",30.5,31,4,1,18,7,25,18,0,0,0,923,1170,78.9,59,67,72,7,128,13179,3117,536,628,85.4,260,327,79.5,64,90,71.1,114,91,0,6,3,12,2,16,9,0,1,1,4,1,1195,7762,3888,159,103,62,100,57,1256,286,110,69,62.7,41,37.3,44,32,9,20,15,13,40,32.5,27,19,0,19,13,57,11,2,41,75,35.3,FW
1804,Harry Wilson,"1,646",4,49,72.4,21.4,51.5,539,11,23,2019-2020,22,wls WAL,Bournemouth,eng Premier League,31,"1,646",18.3,20,11,3,7,0,7,7,0,0,0,452,624,72.4,14,42,22,1,66,7801,1765,245,287,85.4,136,182,74.7,59,99,59.6,49,36,2,1,4,5,1,4,3,0,0,1,0,0,539,2817,1086,29,17,6,35,21,536,89,33,17,51.5,16,48.5,23,13,8,10,5,11,34,32.4,23,26,2,24,11,34,15,1,6,22,21.4,"MF,FW"
1805,Fabian Schär,"1,672",3,25,73.4,50,66.7,530,47,39,2019-2020,27,ch SUI,Newcastle Utd,eng Premier League,22,"1,672",18.6,18,4,10,2,0,2,2,0,0,0,590,804,73.4,4,59,3,0,53,12400,5435,226,261,86.6,228,275,82.9,120,228,52.6,25,19,1,1,3,0,1,3,1,1,0,1,0,0,530,2962,1818,20,16,2,14,5,556,6,24,16,66.7,8,33.3,39,21,25,14,0,19,40,47.5,21,35,18,17,47,86,74,2,33,33,50,"DF,MF"
1806,Kelechi Iheanacho,960,5,37,80,9.7,59.3,315,3,3,2019-2020,22,ng NGA,Leicester City,eng Premier League,20,960,10.7,12,8,9,5,3,8,5,0,0,0,216,270,80,15,12,8,0,29,2709,555,138,156,88.5,48,62,77.4,8,10,80,37,21,0,7,5,4,0,5,2,0,1,1,1,0,315,1567,704,22,15,10,52,21,348,88,27,16,59.3,11,40.7,3,1,1,2,0,1,9,11.1,8,8,1,7,3,6,8,0,3,28,9.7,FW
1807,Daniel James,"2,287",9,71,70.8,21.2,43.5,682,7,20,2019-2020,21,wls WAL,Manchester Utd,eng Premier League,33,"2,287",25.4,26,7,4,3,6,9,3,0,0,0,568,802,70.8,26,34,26,7,60,7731,1669,358,425,84.2,149,210,71,24,52,46.2,71,49,0,4,5,13,0,9,8,0,0,0,1,0,682,5477,3422,140,69,43,46,29,826,263,62,27,43.5,35,56.5,20,10,5,10,5,7,45,15.6,38,23,4,19,7,27,12,0,7,26,21.2,FW
1808,Isaac Hayden,"2,223",3,33,75.6,59.8,62.8,532,38,55,2019-2020,24,eng ENG,Newcastle Utd,eng Premier League,29,"2,223",24.7,26,3,2,1,2,3,1,0,0,0,645,853,75.6,15,37,12,7,52,9410,2242,368,441,83.4,213,258,82.6,31,65,47.7,33,25,1,2,2,2,1,3,1,0,0,1,1,0,532,2118,793,24,18,6,28,17,613,30,43,27,62.8,16,37.2,55,27,33,17,5,20,50,40,30,24,7,17,38,93,38,0,49,33,59.8,MF
1809,Michael Obafemi,665,2,20,79.1,19.6,58.3,140,6,7,2019-2020,19,ie IRL,Southampton,eng Premier League,21,665,7.4,8,13,10,3,2,5,3,0,0,0,110,139,79.1,10,2,2,0,7,1270,196,74,85,87.1,24,32,75,3,4,75,20,14,0,3,2,1,0,2,2,0,0,0,0,0,140,752,236,8,5,7,40,15,175,52,24,14,58.3,10,41.7,7,3,1,3,3,2,14,14.3,12,3,0,3,6,13,0,0,9,37,19.6,FW
