,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
2201,Sebastiano Luperto,728,3,9,89.7,51.4,50,320,13,8,2018-2019,21,it ITA,Napoli,it Serie A,12,728,8.1,6,6,22,0,0,0,0,0,0,0,419,467,89.7,0,21,1,0,20,7131,2648,181,194,93.3,206,219,94.1,23,39,59,9,8,0,0,0,0,1,3,3,0,0,0,0,0,320,1366,830,7,0,0,3,0,357,3,2,1,50,1,50,8,6,5,2,1,2,5,40,3,7,3,4,13,21,30,0,19,18,51.4,DF
2202,Nicolás Spolli,538,0,3,87.8,69.2,0,119,7,7,2018-2019,35,ar ARG,Genoa,it Serie A,7,538,6,7,0,5,0,0,0,0,0,0,0,158,180,87.8,1,4,0,0,4,3211,1063,45,49,91.8,97,107,90.7,15,20,75,3,2,0,0,1,0,0,0,0,0,0,0,0,0,119,613,274,1,0,0,2,0,138,0,1,0,0,1,100,7,6,3,4,0,0,2,0,2,8,6,2,7,14,39,1,9,4,69.2,DF
2203,Bartosz Salamon,"1,725",1,15,81.8,55.7,100,435,27,17,2018-2019,27,pl POL,Frosinone,it Serie A,20,"1,725",19.2,19,1,11,0,0,0,0,0,0,0,635,776,81.8,1,36,9,0,38,13984,4757,148,173,85.5,380,416,91.3,101,170,59.4,15,14,0,0,0,0,1,1,1,0,0,0,0,0,435,2057,1082,5,4,1,3,2,522,2,2,2,100,0,0,17,10,12,5,0,6,14,42.9,8,27,19,8,27,44,143,1,44,35,55.7,DF
2204,Lucas Paquetá,842,6,26,75.8,44.4,64,324,4,18,2018-2019,20,br BRA,Milan,it Serie A,13,842,9.4,12,1,1,1,1,2,1,0,0,0,282,372,75.8,9,32,8,0,48,3845,1334,176,210,83.8,72,99,72.7,16,29,55.2,26,19,0,2,1,3,1,6,3,0,1,1,1,0,324,1455,729,21,15,2,20,30,370,49,25,16,64,9,36,18,9,9,8,1,7,24,29.2,17,12,0,12,4,22,11,2,16,20,44.4,MF
2205,Roberto Soriano,"1,957",10,71,79.6,45.7,90.3,658,9,36,2018-2019,27,it ITA,2 Teams,it Serie A,28,"1,957",21.7,23,5,9,2,4,6,2,0,0,0,684,859,79.6,34,62,26,5,100,9063,2760,460,508,90.6,179,234,76.5,22,39,56.4,71,51,2,5,4,5,4,10,6,0,1,0,1,2,658,4254,1939,58,53,8,38,32,779,140,31,28,90.3,3,9.7,36,23,14,15,7,9,32,28.1,23,30,2,28,9,45,12,0,32,38,45.7,MF
2206,Cristiano Biraghi,"3,194",7,100,70,70.9,57.7,1025,44,52,2018-2019,25,it ITA,Fiorentina,it Serie A,36,"3,194",35.5,36,0,1,1,4,5,1,0,0,0,1359,1941,70,62,82,52,31,119,22959,8680,660,777,84.9,521,702,74.2,134,343,39.1,100,72,23,1,3,0,1,7,6,0,1,0,0,0,1025,5123,2947,76,71,6,40,10,1180,177,26,15,57.7,11,42.3,52,33,31,17,4,18,38,47.4,20,40,17,23,44,96,113,0,39,16,70.9,DF
2207,Rick Karsdorp,593,3,13,76.6,30.8,77.8,228,12,9,2018-2019,23,nl NED,Roma,it Serie A,11,593,6.6,7,4,15,0,1,1,0,0,0,0,317,414,76.6,4,32,13,5,44,5597,2741,144,165,87.3,134,160,83.8,36,65,55.4,13,10,3,0,0,0,0,3,3,0,0,0,0,0,228,1397,842,20,19,1,5,6,267,28,9,7,77.8,2,22.2,9,6,3,5,1,5,11,45.5,6,4,2,2,12,21,12,1,4,9,30.8,DF
2208,Emiliano Rigoni,522,3,25,61.2,27.3,51.6,229,3,6,2018-2019,25,ar ARG,Atalanta,it Serie A,12,522,5.8,6,6,4,3,0,3,3,0,0,0,148,242,61.2,9,11,7,3,29,2499,541,67,83,80.7,49,81,60.5,20,44,45.5,25,18,2,2,3,0,0,3,2,0,0,1,0,0,229,1664,681,28,17,4,20,18,244,80,31,16,51.6,15,48.4,6,1,2,2,2,2,6,33.3,4,3,0,3,3,9,3,0,3,8,27.3,"FW,MF"
2209,Diego Falcinelli,703,2,15,79.7,46.2,44.4,176,1,8,2018-2019,27,it ITA,Bologna,it Serie A,16,703,7.8,8,8,20,0,1,1,0,0,0,0,114,143,79.7,5,8,2,1,11,1535,288,66,76,86.8,30,38,78.9,7,11,63.6,15,9,0,0,2,2,2,2,2,0,0,0,0,0,176,808,277,8,7,6,27,31,192,55,18,8,44.4,10,55.6,8,5,1,3,4,2,3,66.7,1,4,1,3,1,9,5,0,18,21,46.2,FW
