transfer,player,age,season,matches_played,play_proportion,raw_goals,raw_assists,raw_nonpenaltykick_goal,total_pass_attempts,Total_Cmp.,Total_Passes_Leading_to_Shot,Cmp_Passes_18_yard_box,prog_dist_per_pass,Shot_Creating_Actions,def_action_to_shot,goal_creating_action,takeon_to_goal,prog_dist_per_carry,Progressive_Passes_Received,TakeOn_Attempts,TakeOn_Success_Percentage,tackle_ratio,Shot_Blocks,Pass_Blocks,Clearances,Aerial_Win_Percentage,aerials_total,FW,MF,DF,90minutes
1,Fabinho,24,2017-2018,34,1.0,0.206,0.088,0.088,58.912,0.856,1.059,0.824,37.034,2.706,0.147,0.529,0.118,59.0,1.676,1.5,0.725,0.561,0.382,1.029,1.824,0.676,4.088,0,1,0,34.0
1,Rachid Ghezzal,26,2017-2018,26,0.867,0.179,0.268,0.179,50.815,0.708,1.431,1.163,31.789,4.205,0.0,0.805,0.089,31.615,11.362,4.92,0.527,0.774,0.0,1.521,0.179,0.29,2.773,1,1,0,11.178
1,Nampalys Mendy,26,2017-2018,14,0.5,0.0,0.093,0.0,69.389,0.903,0.187,0.0,44.391,1.119,0.0,0.187,0.0,110.0,0.56,0.373,0.75,0.462,0.093,0.746,0.933,0.5,0.56,0,1,0,10.722
1,Max Gradel,30,2017-2018,29,1.0,0.298,0.037,0.149,37.863,0.557,1.64,1.379,39.052,3.913,0.075,0.261,0.0,24.846,11.776,5.329,0.552,0.571,0.075,1.379,1.118,0.206,2.348,1,1,0,26.833
1,Issa Diop,21,2017-2018,34,1.0,0.088,0.0,0.088,36.676,0.793,0.147,0.118,82.443,0.676,0.0,0.0,0.0,203.571,0.029,0.441,0.733,0.741,0.735,0.382,3.765,0.613,2.735,0,0,1,34.0
1,Dimitri Foulquier,25,2017-2018,16,0.889,0.0,0.145,0.0,49.249,0.785,0.581,0.726,59.212,1.961,0.0,0.218,0.0,40.159,2.179,3.923,0.611,0.48,0.291,0.799,2.397,0.385,0.944,0,0,1,13.767
1,Yves Bissouma,21,2017-2018,24,0.8,0.115,0.058,0.115,60.077,0.841,0.634,0.404,37.115,2.652,0.0,0.231,0.058,45.984,2.94,4.324,0.733,0.746,0.115,0.634,1.787,0.667,1.903,0,1,1,17.344
1,Adama Diakhaby,22,2017-2018,22,0.688,0.212,0.318,0.212,22.341,0.664,0.847,0.424,51.429,1.694,0.106,0.424,0.0,26.192,8.682,2.647,0.2,0.652,0.0,1.376,0.529,0.357,4.447,1,0,0,9.444
1,Isaac Mbenza,22,2017-2018,38,1.0,0.344,0.0,0.344,27.996,0.65,1.245,0.386,31.333,2.963,0.086,0.129,0.043,26.432,7.686,1.503,0.629,0.688,0.043,0.301,0.215,0.389,0.773,1,1,0,23.289
1,João Moutinho,31,2017-2018,33,0.917,0.032,0.193,0.032,64.988,0.825,1.766,0.963,30.765,3.243,0.0,0.417,0.0,72.13,2.44,0.931,0.724,0.631,0.385,1.284,1.734,0.51,1.573,0,1,0,31.144
